Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
Mar-23,13.4,66.9,2.7,41.9,23.3,166.7,4,318.9,32.58,1.02,4.09,62.6,0,42.6
Apr-23,11.9,35.5,2.4,38.4,21.0,131.9,4,245.1,35.4,0.0,0.0,0.0,0,22.1
May-23,11.0,26.4,2.2,37.3,19.2,125.5,4,225.6,36.58,0.0,0.0,0.0,0,21.4
Jun-23,10.7,22.8,2.1,37.8,18.4,130.5,4,226.3,35.4,0.0,0.0,0.0,0,19.9
Jul-23,10.3,24.5,2.1,37.3,17.8,102.2,4,198.2,36.58,0.0,0.0,0.0,0,19.9
Aug-23,9.7,30.0,1.9,36.8,16.7,111.6,4,210.7,36.58,0.0,0.0,0.0,0,20.2
Sep-23,9.7,38.1,1.9,38.0,17.6,129.5,4,238.8,35.4,0.0,0.0,0.0,0,20.9
Oct-23,9.9,44.9,1.9,38.8,18.0,174.4,4,291.9,36.58,0.0,0.0,0.0,0,22.6
Nov-23,9.6,49.8,1.8,39.2,18.1,145.1,4,267.6,35.4,0.0,0.0,0.0,0,25.5
Dec-23,9.5,52.9,1.8,39.4,18.9,147.5,4,274.0,36.58,0.0,0.0,0.0,0,26.8
Jan-24,9.5,55.3,1.8,40.0,18.0,150.8,4,279.4,36.58,0.0,0.0,0.0,0,27.0
Feb-24,9.2,52.5,1.7,38.4,20.3,170.5,4,296.6,34.22,0.0,0.0,0.0,0,24.1
Mar-24,9.3,50.8,1.8,38.4,20.2,135.1,4,259.6,36.58,0.0,0.0,0.0,0,24.5
Apr-24,8.6,48.0,1.6,37.4,19.8,134.1,4,253.5,38.76,0.0,0.0,0.0,0,22.1
May-24,7.7,45.9,1.4,36.7,20.8,132.0,4,248.5,40.05,0.0,0.0,0.0,0,21.4
Jun-24,6.6,42.7,1.2,35.2,21.8,126.9,4,238.4,38.76,0.0,0.0,0.0,0,19.9
Jul-24,5.8,46.0,1.0,36.8,20.5,118.1,4,232.2,40.05,0.0,0.0,0.0,0,19.9
Aug-24,5.2,48.3,0.8,37.8,22.4,139.6,4,258.1,40.05,0.0,0.0,0.0,0,20.2
Sep-24,5.1,49.7,0.6,37.9,29.3,160.9,4,287.5,38.76,0.0,0.0,0.0,0,20.9
Oct-24,7.7,52.0,0.5,39.3,31.8,180.8,4,316.1,40.05,0.0,0.0,0.0,0,22.6
Nov-24,5.3,51.9,0.6,39.0,30.5,146.6,4,277.9,38.76,0.0,0.0,0.0,0,25.5
Dec-24,5.3,54.8,0.6,40.7,29.5,175.6,4,310.5,40.05,0.0,0.0,0.0,0,26.8
Jan-25,5.8,54.1,0.5,40.5,31.8,114.3,4,251.0,40.05,0.0,0.0,0.0,0,27.0
Feb-25,5.8,46.6,0.3,35.3,31.2,128.7,4,251.9,36.18,0.0,0.0,0.0,0,24.1
