Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
Mar-24,9.2,16.5,1.8,24.8,99.3,15.1,3.5,170.2,36.58, 4.23 , -   ,23.8
Apr-24,9.7,16.6,1.9,27.9,94.1,17.3,3.5,171.0,38.76, -   , -   ,21.7
May-24,9.8,19.4,1.9,27.2,101.3,18.5,3.5,181.6,40.05, -   , -   ,20.6
Jun-24,9.7,20.9,1.9,26.4,99.6,16.1,3.5,178.1,38.76, -   , -   ,19.4
Jul-24,9.7,22.8,1.9,27.5,77.4,17.5,3.5,160.3,40.05, -   , -   ,20.0
Aug-24,9.8,23.6,1.9,28.0,88.0,18.7,3.5,173.5,40.05, -   , -   ,20.0
Sep-24,9.8,24.6,1.9,28.2,122.3,18.0,3.5,208.3,38.76, -   , -   ,20.4
Oct-24,9.7,25.1,1.9,28.6,158.2,18.7,3.5,245.7,61.18, 4.26 , 3.70 ,22.3
Nov-24,9.6,24.9,1.8,28.8,127.2,20.8,3.5,216.6,59.2, 4.12 , 3.58 ,23.9
Dec-24,9.5,25.3,1.8,29.3,113.0,20.7,3.5,203.1,61.18, 4.26 , 3.70 ,24.9
Jan-25,9.6,25.9,1.8,29.8,106.8,19.4,3.5,196.8,61.18, 4.26 , 3.70 ,25.6
Feb-25,9.6,24.2,1.8,29.0,131.3,22.6,3.5,222.0,55.26, 3.85 , 3.34 ,23.2
Mar-25,9.5,23.5,1.8,28.9,134.9,20.5,3.5,222.6,61.18, 4.26 , 3.70 ,23.5
Apr-25,8.9,23.1,1.6,28.6,99.7,21.9,3.5,187.3,44.56, -   , -   ,21.5
May-25,8.5,22.6,1.5,27.8,96.8,25.0,3.5,185.7,46.05, -   , -   ,20.4
Jun-25,7.9,21.7,1.2,26.7,88.7,23.9,3.5,173.6,44.56, -   , -   ,19.3
Jul-25,6.7,23.2,1.1,27.3,79.7,24.8,3.5,166.3,46.05, -   , -   ,20.0
Aug-25,6.4,23.6,0.9,26.9,80.7,26.5,3.5,168.5,46.05, -   , -   ,19.9
Sep-25,7.3,23.7,0.8,26.5,84.9,29.5,3.5,176.2,44.56, -   , -   ,20.3
Oct-25,7.3,25.5,1.0,27.6,92.4,33.0,3.5,190.3,46.05, -   , -   ,22.2
Nov-25,7.1,25.2,0.8,27.3,74.4,30.8,3.5,169.1,44.56, -   , -   ,23.4
Dec-25,6.8,26.5,0.8,28.3,86.4,31.3,3.5,183.6,46.05, -   , -   ,24.5
Jan-26,7.2,26.1,0.8,28.1,55.8,32.1,3.5,153.6,46.05, -   , -   ,25.1
Feb-26,6.9,23.3,0.6,25.1,63.9,29.2,3.5,152.5,41.59, -   , -   ,22.8
,,,,,,,,,,,,
