Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/03/2025,9.9,9.9,1.0,27.9,160.4,20.5,2.1,231.7,61.2,4.3,3.7,0.0,0,0,24.4
01/04/2025,10.2,10.6,1.0,29.5,122.2,22.1,2.1,197.7,44.6,0.0,0.0,0.0,0,0,21.7
01/05/2025,9.9,10.8,1.0,28.1,129.0,21.5,2.1,202.4,46.1,0.0,0.0,0.0,0,0,20.3
01/06/2025,9.7,10.9,1.0,27.6,160.0,19.4,2.1,230.7,44.6,0.0,0.0,0.0,0,0,19.0
01/07/2025,9.7,11.4,1.0,28.6,131.1,20.1,2.1,204.0,46.1,0.0,0.0,0.0,0,0,19.7
01/08/2025,9.6,11.9,1.0,28.5,130.7,21.5,2.1,205.3,46.1,0.0,0.0,0.0,0,0,19.7
01/09/2025,9.4,12.1,1.0,28.8,173.0,21.0,2.1,247.4,44.6,0.0,0.0,0.0,0,0,20.1
01/10/2025,9.1,12.7,1.0,29.5,228.2,20.8,2.1,303.4,97.0,0.0,0.0,0.0,0,0,22.3
01/11/2025,9.2,13.1,1.0,29.7,219.7,23.0,2.1,297.8,93.9,0.0,0.0,0.0,0,0,23.6
01/12/2025,9.0,13.7,1.0,30.1,185.2,24.2,2.1,265.3,97.0,0.0,0.0,0.0,0,0,25.0
01/01/2026,8.8,14.3,1.0,30.3,142.3,22.1,2.1,220.9,97.0,0.0,0.0,0.0,0,0,25.8
01/02/2026,8.6,13.7,1.0,29.0,192.5,24.1,2.1,271.0,87.7,0.0,0.0,0.0,0,0,23.1
01/03/2026,8.4,14.1,1.0,28.8,182.7,22.0,2.1,259.1,97.0,0.0,0.0,0.0,0,0,23.6
01/04/2026,8.5,15.2,0.9,28.2,129.0,21.9,2.1,205.8,69.2,0.0,0.0,1.2,0,0,21.2
01/05/2026,7.6,16.4,1.0,27.7,123.8,22.2,2.1,200.8,71.5,0.0,0.0,1.2,0,0,19.8
01/06/2026,6.7,17.4,0.9,27.0,129.3,21.3,2.1,204.7,69.2,0.0,0.0,1.2,0,0,18.9
01/07/2026,6.9,19.0,0.8,27.7,121.2,22.7,2.1,200.4,71.5,0.0,0.0,1.2,0,0,19.5
01/08/2026,6.1,20.8,0.9,28.2,115.8,23.8,2.1,197.7,71.5,0.0,0.0,1.2,0,0,19.5
01/09/2026,3.5,21.2,1.2,27.7,125.3,22.3,2.1,203.3,69.2,0.0,0.0,1.2,0,0,20.0
01/10/2026,2.9,22.2,1.3,28.8,145.9,22.9,2.1,226.1,71.5,0.0,0.0,1.2,0,0,22.2
01/11/2026,3.8,22.7,1.1,28.8,128.1,24.3,2.1,210.9,69.2,0.0,0.0,1.2,0,0,23.6
01/12/2026,3.8,24.0,1.2,29.6,130.0,24.9,2.1,215.6,71.5,0.0,0.0,1.2,0,0,25.1
01/01/2027,2.5,23.7,1.3,29.1,87.3,24.5,2.1,170.5,71.5,0.0,0.0,1.2,0,0,25.7
01/02/2027,1.8,21.5,1.3,26.6,98.4,22.2,2.1,173.9,64.6,0.0,0.0,1.2,0,0,23.0
