Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Jul-22,10.3,72.4,2.1,54.5,13.7,180.3,6.7,340.0,32.58,1.02,4.09,34.5
Aug-22,10.5,96.3,2.1,58.2,14.4,165.7,6.7,353.9,32.58,1.02,4.09,32.9
Sep-22,10.3,115.1,2.0,56.4,13.6,207.8,6.7,411.9,31.53,0.99,3.96,33.8
Oct-22,10.3,119.7,2.0,49.8,13.3,231.4,6.7,433.2,32.58,1.02,4.09,40.3
Nov-22,10.1,147.4,1.9,52.7,14.1,262.9,6.7,495.8,31.53,0.99,3.96,43.5
Dec-22,9.9,131.6,1.9,44.5,13.5,246.2,6.7,454.3,32.58,1.02,4.09,43.1
Jan-23,9.9,126.5,1.9,39.3,13.2,241.0,6.7,438.5,32.58,1.02,4.09,43.7
Feb-23,10.0,110.0,1.8,32.6,14.6,243.1,6.7,418.8,29.43,0.92,3.69,38.9
Mar-23,10.0,96.2,1.8,27.8,13.8,229.9,6.7,386.2,32.58,1.02,4.09,38.7
Apr-23,9.8,81.8,1.8,23.0,13.9,160.6,6.7,297.6,25.65,0.0,0.0,22.3
May-23,9.7,80.5,1.8,21.3,14.1,157.6,6.7,291.7,26.5,0.0,0.0,22.2
Jun-23,9.5,78.6,1.8,19.8,13.7,153.2,6.7,283.3,25.65,0.0,0.0,19.9
Jul-23,9.0,76.8,1.8,19.7,12.9,139.3,6.7,266.2,26.5,0.0,0.0,20.6
Aug-23,8.6,74.5,1.6,27.5,13.4,174.0,6.7,306.3,26.5,0.0,0.0,20.1
Sep-23,9.5,71.6,1.4,35.1,13.8,215.6,6.7,353.7,25.65,0.0,0.0,21.0
Oct-23,9.7,70.4,1.2,40.3,13.4,243.1,6.7,384.8,26.5,0.0,0.0,22.8
Nov-23,9.7,67.1,1.1,55.4,16.1,218.7,6.7,374.8,25.65,0.0,0.0,25.5
Dec-23,9.1,65.9,0.9,62.0,15.7,269.9,6.7,430.2,26.5,0.0,0.0,26.8
Jan-24,9.2,61.6,0.7,70.4,15.9,173.5,6.7,338.0,26.5,0.0,0.0,27.4
Feb-24,9.1,54.9,0.6,56.5,13.1,200.5,6.7,341.4,24.79,0.0,0.0,23.1
Mar-24,9.8,60.7,0.7,68.1,15.5,212.5,6.7,374.0,26.5,0.0,0.0,24.5
Apr-24,8.3,58.9,0.7,68.4,15.4,198.5,6.7,356.9,27.08,0.0,0.0,22.3
May-24,8.3,60.3,0.6,67.7,14.4,196.4,6.7,354.4,27.98,0.0,0.0,22.3
Jun-24,7.4,58.2,0.7,68.9,14.1,174.4,6.7,330.4,27.08,0.0,0.0,19.9
