Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
01/07/2023,9.7,12.7,1.9,27.0,63.1,16.9,2.6,133.9,36.58,0.0,20.2
01/08/2023,9.7,19.2,1.9,30.0,76.8,18.0,2.6,158.2,36.58,0.0,20.2
01/09/2023,9.8,20.7,1.9,31.4,100.2,17.6,2.6,184.2,35.4,0.0,20.9
01/10/2023,9.8,23.1,1.9,31.2,123.6,17.2,2.6,209.4,36.58,4.26,22.6
01/11/2023,9.7,35.6,1.9,36.4,123.2,19.3,2.6,228.7,35.4,4.12,25.3
01/12/2023,9.8,38.8,1.9,36.9,112.2,20.5,2.6,222.7,36.58,4.26,26.3
01/01/2024,9.7,43.3,1.9,37.8,124.1,19.0,2.6,238.4,36.58,4.26,27.0
01/02/2024,9.5,42.4,1.8,36.2,139.7,22.3,2.6,254.5,34.22,3.85,23.9
01/03/2024,9.6,42.0,1.8,35.7,130.7,20.2,2.6,242.6,36.58,4.26,24.6
01/04/2024,9.5,40.7,1.8,34.7,139.3,19.8,2.6,248.4,38.76,0.0,22.6
01/05/2024,9.5,39.7,1.8,34.2,112.4,21.8,2.6,222.0,40.05,0.0,22.2
01/06/2024,9.2,39.1,1.8,34.0,113.8,19.4,2.6,219.9,38.76,0.0,20.5
01/07/2024,9.0,38.0,1.8,33.7,86.2,20.0,2.6,191.3,40.05,0.0,21.0
01/08/2024,8.2,39.3,1.6,34.4,100.7,20.7,2.6,207.5,40.05,0.0,20.7
01/09/2024,7.7,40.4,1.3,34.5,123.3,24.3,2.6,234.1,38.76,0.0,21.4
01/10/2024,8.8,43.0,1.1,36.0,146.9,27.2,2.6,265.6,40.05,0.0,23.1
01/11/2024,6.7,44.6,1.0,36.4,127.5,28.8,2.6,247.6,38.76,0.0,25.3
01/12/2024,6.2,48.3,0.8,38.2,145.1,29.3,2.6,270.5,40.05,0.0,26.3
01/01/2025,6.4,48.8,0.6,38.2,100.7,32.4,2.6,229.7,40.05,0.0,26.9
01/02/2025,6.3,42.5,0.5,33.9,112.8,32.0,2.6,230.6,36.18,0.0,23.7
01/03/2025,5.9,43.2,0.6,35.3,119.4,33.3,2.6,240.3,40.05,0.0,24.6
01/04/2025,5.4,39.4,0.6,33.0,106.0,31.3,2.6,218.3,38.19,0.0,22.6
01/05/2025,6.1,37.6,0.5,32.2,107.7,32.7,2.6,219.4,39.47,0.0,22.1
01/06/2025,4.3,34.4,0.5,30.0,101.8,31.2,2.6,204.8,38.19,0.0,22.1
