Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
Jul-24,12.1,12.1,1.2,27.6,134.8,17.1,2.2,207.1,40.05,0.0,0.0,0.0,0.0,0.0,20.135
Aug-24,11.4,11.7,1.1,30.3,105.6,22.2,2.2,184.5,40.05,0.0,0.0,0.0,0.0,0.0,20.082
Sep-24,10.5,11.2,1.1,29.0,139.4,21.4,2.2,214.8,38.76,0.0,0.0,0.0,0.0,0.0,20.409
Oct-24,10.1,11.3,1.0,28.3,208.5,20.6,2.2,282.0,61.18,4.26,3.7,0.0,0.0,0.0,22.375
Nov-24,10.0,11.8,1.0,29.7,191.4,23.9,2.2,270.0,59.2,4.12,3.58,0.0,0.0,0.0,24.142
Dec-24,9.8,12.2,1.0,29.9,148.0,23.8,2.2,226.9,61.18,4.26,3.7,0.0,0.0,0.0,25.465
Jan-25,9.6,12.7,1.0,29.9,125.3,23.6,2.2,204.3,61.18,4.26,3.7,0.0,0.0,0.0,26.23
Feb-25,9.6,12.6,1.0,29.2,162.1,24.9,2.2,241.6,55.26,3.85,3.34,0.0,0.0,0.0,23.377
Mar-25,9.5,13.1,1.0,28.6,157.4,22.5,2.2,234.3,61.18,4.26,3.7,0.0,0.0,0.0,23.277
Apr-25,9.5,13.0,1.0,28.1,112.4,21.9,2.2,188.1,44.56,0.0,0.0,0.71,0.0,0.0,21.371
May-25,9.3,13.5,1.0,27.7,128.2,22.5,2.2,204.4,46.05,0.0,0.0,0.71,0.0,0.0,20.221
Jun-25,9.4,13.6,0.9,27.7,154.0,20.8,2.2,228.6,44.56,0.0,0.0,0.71,0.0,0.0,19.1
Jul-25,9.3,14.1,0.9,28.0,123.5,21.5,2.2,199.5,46.05,0.0,0.0,0.71,0.0,0.0,19.817
Aug-25,8.7,16.9,0.9,29.0,112.9,23.8,2.2,194.4,46.05,0.0,0.0,0.71,0.0,0.0,19.713
Sep-25,8.3,19.1,0.9,28.8,137.2,24.5,2.2,221.0,44.56,0.0,0.0,0.71,0.0,0.0,20.134
Oct-25,7.4,22.0,0.9,29.4,172.7,25.8,2.2,260.4,46.05,0.0,0.0,0.71,-8.857,40.266,22.265
Nov-25,7.1,24.6,0.8,29.7,138.5,27.1,2.2,230.0,44.56,0.0,0.0,0.71,-8.571,38.967,23.908
Dec-25,6.5,28.0,0.8,30.9,133.4,28.2,2.2,230.0,46.05,0.0,0.0,0.71,-8.857,40.266,25.298
Jan-26,5.9,29.9,0.9,30.8,89.4,30.2,2.2,189.3,46.05,0.0,0.0,0.71,-8.857,40.266,25.956
Feb-26,5.3,26.4,0.8,27.3,104.8,27.5,2.2,194.3,41.59,0.0,0.0,0.71,-8.0,36.369,23.232
Mar-26,6.0,28.4,0.8,29.3,104.1,29.9,2.2,200.7,46.05,0.0,0.0,0.71,-8.857,40.266,23.743
Apr-26,6.3,26.8,0.6,28.1,87.0,28.1,2.2,179.1,44.56,0.0,0.0,2.76,0.0,0.0,21.487
May-26,6.3,26.1,0.7,27.7,94.1,29.1,2.2,186.2,46.05,0.0,0.0,2.76,0.0,0.0,20.248
Jun-26,5.7,24.7,0.7,26.5,82.4,30.0,2.2,172.2,44.56,0.0,0.0,2.76,0.0,0.0,20.222
