Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Nov-22,12.6,41.4,2.5,25.0,-40.1,205.7,65.4,312.5,31.53,0.99,3.96,60.58,42.9
Dec-22,11.4,93.8,2.3,36.0,-43.0,207.1,65.4,373.0,32.58,1.02,4.09,62.6,45.9
Jan-23,9.8,156.8,1.9,45.8,-45.3,291.4,65.4,525.8,32.58,1.02,4.09,62.6,47.2
Feb-23,9.5,139.4,1.9,36.8,-44.0,299.7,65.4,508.7,29.43,0.92,3.69,56.54,42.2
Mar-23,9.6,77.3,1.9,22.8,-44.3,204.8,65.4,337.5,32.58,1.02,4.09,62.6,43.9
Apr-23,10.1,75.1,2.0,20.3,-43.3,205.2,65.4,334.8,35.7,0.0,0.0,0.0,22.3
May-23,10.0,73.0,1.9,18.4,-41.9,197.5,65.4,324.3,36.9,0.0,0.0,0.0,22.2
Jun-23,9.9,70.4,1.9,16.8,-43.8,180.7,65.4,301.3,35.7,0.0,0.0,0.0,19.9
Jul-23,9.8,67.6,1.9,17.3,-43.5,143.7,65.4,262.2,36.9,0.0,0.0,0.0,20.6
Aug-23,9.6,70.8,1.9,18.8,-42.4,175.7,65.4,299.8,36.9,0.0,0.0,0.0,20.1
Sep-23,9.7,73.5,1.8,20.0,-40.7,213.2,65.4,342.9,35.7,0.0,0.0,0.0,21.0
Oct-23,10.0,76.6,1.8,25.0,-39.7,275.1,65.4,414.2,36.9,0.0,0.0,0.0,22.8
Nov-23,9.8,75.3,1.8,24.0,-40.7,274.9,65.4,410.5,35.7,0.0,0.0,0.0,25.5
Dec-23,9.4,73.0,1.6,34.4,-38.8,240.6,65.4,385.6,36.9,0.0,0.0,0.0,26.8
Jan-24,8.5,69.0,1.4,44.5,-33.9,207.4,65.4,362.3,36.9,0.0,0.0,0.0,27.4
Feb-24,7.2,62.5,1.2,46.5,-27.5,232.5,65.4,387.8,34.51,0.0,0.0,0.0,23.1
Mar-24,7.9,63.2,1.1,62.4,-27.3,240.2,65.4,412.9,36.9,0.0,0.0,0.0,24.5
Apr-24,7.8,58.7,1.0,63.0,-36.0,221.8,65.4,381.7,37.69,0.0,0.0,0.0,22.3
May-24,6.7,59.8,0.7,75.4,-29.8,231.6,65.4,409.8,38.95,0.0,0.0,0.0,22.3
Jun-24,6.2,58.1,0.8,73.6,-33.9,209.4,65.4,379.6,37.69,0.0,0.0,0.0,19.9
Jul-24,5.7,59.9,0.7,75.8,-38.7,203.9,65.4,372.7,38.95,0.0,0.0,0.0,20.7
Aug-24,5.4,59.7,0.6,77.1,-32.8,236.8,65.4,412.2,38.95,0.0,0.0,0.0,20.2
Sep-24,6.1,58.5,0.6,82.2,-18.7,260.0,65.4,454.1,37.69,0.0,0.0,0.0,21.1
Oct-24,8.4,60.5,0.4,99.1,-14.2,288.1,65.4,507.7,38.95,0.0,0.0,0.0,22.9
