Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
01/11/2023,11.8,20.5,2.4,40.6,162.9,16.3,7.7,262.2,35.4,4.1,24.2
01/12/2023,11.0,32.1,2.2,39.1,118.1,16.1,7.7,226.3,36.6,4.3,25.1
01/01/2024,10.2,37.1,2.0,39.7,162.0,13.1,7.7,271.8,36.6,4.3,25.7
01/02/2024,10.2,38.7,2.0,39.4,212.2,17.0,7.7,327.2,34.2,3.9,24.1
01/03/2024,10.1,36.1,2.0,36.7,149.6,14.2,7.7,256.4,36.6,4.3,23.9
01/04/2024,9.9,34.1,1.9,34.6,133.2,14.2,7.7,235.6,38.8,0.0,22.3
01/05/2024,10.0,33.0,1.9,33.8,121.8,15.5,7.7,223.7,40.1,0.0,21.3
01/06/2024,9.6,34.0,1.8,33.8,130.0,13.8,7.7,230.7,38.8,0.0,20.4
01/07/2024,9.5,33.7,1.8,33.8,106.7,14.2,7.7,207.4,40.1,0.0,20.8
01/08/2024,9.6,35.9,1.8,34.9,109.6,15.3,7.7,214.8,40.1,0.0,20.7
01/09/2024,9.9,37.5,1.8,35.4,143.1,14.6,7.7,250.0,38.8,0.0,20.9
01/10/2024,10.5,39.0,1.7,36.2,172.5,14.4,7.7,282.0,40.1,0.0,22.6
01/11/2024,10.0,39.5,1.7,36.4,173.9,16.6,7.7,285.8,38.8,0.0,23.7
01/12/2024,9.2,40.8,1.6,36.8,143.7,18.3,7.7,258.1,40.1,0.0,24.5
01/01/2025,9.7,40.3,1.4,36.2,128.0,18.7,7.7,242.0,40.1,0.0,25.2
01/02/2025,10.4,35.7,1.2,32.9,135.1,21.4,7.7,244.4,36.2,0.0,23.1
01/03/2025,9.2,37.7,1.1,34.2,125.9,21.9,7.7,237.7,40.1,0.0,23.4
01/04/2025,7.4,36.1,0.9,32.6,110.2,22.8,7.7,217.7,38.2,0.0,22.0
01/05/2025,8.3,34.9,0.7,31.7,109.1,24.7,7.7,217.1,39.5,0.0,21.1
01/06/2025,6.9,33.2,0.6,30.4,102.4,23.9,7.7,205.1,38.2,0.0,20.2
01/07/2025,5.4,34.6,0.6,31.4,101.1,23.0,7.7,203.8,39.5,0.0,20.6
01/08/2025,6.6,35.1,0.6,31.6,109.9,23.3,7.7,214.8,39.5,0.0,20.5
01/09/2025,10.0,34.9,0.6,31.2,123.2,25.9,7.7,233.5,38.2,0.0,20.9
01/10/2025,12.8,37.1,0.6,32.6,135.7,25.2,7.7,251.7,39.5,0.0,22.49595183
