Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,BSUoS Cost Recovery £m,ALoMCP £m,CMP345/350 Deferred Costs £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Feb-22,15.0,15.0,3.0,67.0,30.0,187.0,4.0,321.0,21.71,5.2,1.67,1.8,0.0,44.7
Mar-22,15.0,15.0,3.0,71.0,30.0,167.0,4.0,305.0,24.04,5.8,1.67,1.63,0.0,45.99
Apr-22,15.0,15.0,3.0,71.0,30.0,149.0,4.0,287.0,23.26,0.0,0.0,1.8,0.0,40.04
May-22,14.0,14.0,3.0,61.0,28.0,132.0,4.0,256.0,24.04,0.0,0.0,0.0,0.0,37.86
Jun-22,12.0,12.0,2.0,54.0,27.0,111.0,4.0,222.0,23.26,0.0,0.0,0.0,0.0,35.66
Jul-22,12.0,12.0,2.0,48.0,26.0,91.0,4.0,195.0,24.04,0.0,0.0,0.0,0.0,36.44
Aug-22,,,,,,,,182.0,24.04,0.0,0.0,0.0,0.0,36.73
Sep-22,,,,,,,,200.0,23.26,0.0,0.0,0.0,0.0,38.17
Oct-22,,,,,,,,204.0,24.04,0.0,0.0,0.0,0.0,40.75
Nov-22,,,,,,,,196.0,23.26,0.0,0.0,0.0,0.0,48.75
Dec-22,,,,,,,,202.0,24.04,0.0,0.0,0.0,0.0,49.68
Jan-23,,,,,,,,187.0,24.04,0.0,0.0,0.0,0.0,53.73
Feb-23,,,,,,,,217.0,21.71,0.0,0.0,0.0,0.0,44.7
Mar-23,,,,,,,,227.0,24.04,0.0,0.0,0.0,0.0,45.99
Apr-23,,,,,,,,201.0,23.26,0.0,0.0,0.0,0.0,40.04
May-23,,,,,,,,217.0,24.04,0.0,0.0,0.0,0.0,37.86
Jun-23,,,,,,,,213.0,23.26,0.0,0.0,0.0,0.0,35.66
Jul-23,,,,,,,,210.0,24.04,0.0,0.0,0.0,0.0,36.44
Aug-23,,,,,,,,213.0,24.04,0.0,0.0,0.0,0.0,36.73
Sep-23,,,,,,,,242.0,23.26,0.0,0.0,0.0,0.0,38.17
Oct-23,,,,,,,,247.0,24.04,0.0,0.0,0.0,0.0,40.75
Nov-23,,,,,,,,216.0,23.26,0.0,0.0,0.0,0.0,48.75
Dec-23,,,,,,,,254.0,24.04,0.0,0.0,0.0,0.0,49.68
Jan-24,,,,,,,,205.0,24.04,0.0,0.0,0.0,0.0,53.73
,,,,,,,,,,,,,,
