Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Jan-23,10.9,79.2,2.2,8.5,18.9,140.3,3.1,263.1,32.58,1.02,4.09,62.6,47.2
Feb-23,9.9,82.5,2.0,9.9,18.3,181.3,3.1,307.0,29.43,0.92,3.69,56.54,41.2
Mar-23,9.8,52.9,1.9,9.5,17.5,168.6,3.1,263.3,32.58,1.02,4.09,62.6,42.6
Apr-23,10.6,61.6,2.1,10.5,19.7,120.8,3.1,228.4,35.4,0.0,0.0,0.0,22.3
May-23,10.2,60.3,2.0,10.2,19.2,115.2,3.1,220.2,36.58,0.0,0.0,0.0,22.2
Jun-23,9.7,55.2,1.9,9.8,17.2,152.9,3.1,249.8,35.4,0.0,0.0,0.0,19.9
Jul-23,9.6,54.9,1.9,10.9,17.1,127.6,3.1,225.1,36.58,0.0,0.0,0.0,20.6
Aug-23,9.5,58.3,1.9,12.5,18.9,99.8,3.1,204.0,36.58,0.0,0.0,0.0,20.1
Sep-23,9.6,61.9,1.8,13.7,18.8,145.3,3.1,254.2,35.4,0.0,0.0,0.0,21.0
Oct-23,9.8,65.2,1.8,17.7,19.4,221.6,3.1,338.6,36.58,0.0,0.0,0.0,22.8
Nov-23,9.5,63.9,1.8,17.4,19.3,180.1,3.1,295.1,35.4,0.0,0.0,0.0,25.5
Dec-23,9.5,63.2,1.8,19.6,19.6,151.6,3.1,268.4,36.58,0.0,0.0,0.0,26.8
Jan-24,9.3,60.3,1.7,21.1,19.7,164.4,3.1,279.6,36.58,0.0,0.0,0.0,27.4
Feb-24,8.3,55.8,1.5,26.4,22.4,193.7,3.1,311.2,34.22,0.0,0.0,0.0,23.1
Mar-24,8.3,56.0,1.4,39.8,23.7,167.2,3.1,299.5,36.58,0.0,0.0,0.0,24.5
Apr-24,7.8,54.8,1.2,44.9,21.9,150.9,3.1,284.6,38.76,0.0,0.0,0.0,22.3
May-24,6.8,53.8,1.0,55.3,24.0,173.1,3.1,317.1,40.05,0.0,0.0,0.0,22.3
Jun-24,5.9,51.2,0.9,62.2,23.3,170.1,3.1,316.7,38.76,0.0,0.0,0.0,19.9
Jul-24,5.0,54.6,0.7,70.5,22.1,166.9,3.1,322.9,40.05,0.0,0.0,0.0,20.7
Aug-24,4.9,55.9,0.6,71.7,23.8,194.9,3.1,354.9,40.05,0.0,0.0,0.0,20.2
Sep-24,5.4,55.5,0.6,75.8,29.8,219.7,3.1,389.9,38.76,0.0,0.0,0.0,21.1
Oct-24,7.8,58.9,0.4,90.2,33.0,245.8,3.1,439.2,40.05,0.0,0.0,0.0,22.9
Nov-24,5.6,58.2,0.5,80.3,31.2,200.4,3.1,379.3,38.76,0.0,0.0,0.0,25.6
Dec-24,5.5,60.6,0.5,82.9,30.0,241.9,3.1,424.5,40.05,0.0,0.0,0.0,26.8
