Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
Jan-24,9.9,26.0,2.0,32.0,124.0,15.3,3.9,213.1,36.58,4.23,0.0,26.1
Feb-24,10.0,30.1,2.0,32.7,153.6,17.8,3.9,250.1,34.22,3.96,0.0,24.3
Mar-24,9.9,27.0,2.0,31.5,134.8,17.6,3.9,226.7,36.58,4.23,0.0,23.6
Apr-24,10.0,26.1,2.0,31.3,108.1,18.5,3.9,199.9,38.76,0.0,0.0,22.0
May-24,10.0,25.7,2.0,31.2,110.7,19.2,3.9,202.7,40.05,0.0,0.0,20.8
Jun-24,9.8,25.1,1.9,30.8,107.2,17.0,3.9,195.7,38.76,0.0,0.0,19.7
Jul-24,9.7,24.7,1.9,30.7,88.0,17.9,3.9,176.8,40.05,0.0,0.0,20.2
Aug-24,9.7,26.8,1.9,31.7,103.6,18.6,3.9,196.2,40.05,0.0,0.0,20.1
Sep-24,9.9,28.4,1.9,32.4,125.2,18.6,3.9,220.3,38.76,0.0,0.0,20.4
Oct-24,9.9,30.3,1.8,33.2,166.5,18.6,3.9,264.2,61.18,4.26,3.7,22.4
Nov-24,9.7,30.7,1.8,33.4,149.1,20.8,3.9,249.4,59.2,4.12,3.6,23.5
Dec-24,9.6,30.8,1.8,33.5,132.2,21.4,3.9,233.2,61.18,4.26,3.7,24.5
Jan-25,9.9,30.8,1.8,33.2,134.3,20.2,3.9,234.1,61.18,4.26,3.7,25.3
Feb-25,10.2,30.0,1.6,32.1,134.4,24.9,3.9,237.1,55.26,3.85,3.3,22.9
Mar-25,9.3,30.4,1.5,32.1,118.1,24.0,3.9,219.3,61.18,4.26,3.7,23.2
Apr-25,8.1,29.4,1.3,30.9,102.8,24.6,3.9,201.0,44.56,0.0,0.0,22.8
May-25,8.4,28.9,1.2,30.3,100.1,27.5,3.9,200.3,46.05,0.0,0.0,21.8
Jun-25,7.2,27.3,0.9,28.4,90.5,26.8,3.9,185.0,44.56,0.0,0.0,20.7
Jul-25,5.7,29.9,0.7,29.8,86.0,27.5,3.9,183.5,46.05,0.0,0.0,21.3
Aug-25,6.7,30.2,0.8,30.0,95.1,28.1,3.9,194.8,46.05,0.0,0.0,21.1
Sep-25,9.3,30.4,0.8,29.6,105.2,32.5,3.9,211.7,44.56,0.0,0.0,21.6
Oct-25,9.8,32.5,1.0,30.9,113.7,35.2,3.9,227.0,46.05,0.0,0.0,23.3
Nov-25,9.4,33.1,0.8,30.9,91.8,33.0,3.9,202.9,44.56,0.0,0.0,23.4
Dec-25,8.5,35.9,0.8,32.5,109.0,33.2,3.9,223.8,46.05,0.0,0.0,24.5
