Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/01/2025,10.6,10.6,1.1,33.2,174.3,24.5,3.1,257.4,61.18,4.25824184,3.69615387,0.0,0,0,27.1184741
01/02/2025,10.4,11.0,1.0,32.8,187.5,26.8,3.1,272.6,55.26,3.84615392,3.33846156,0.0,0,0,24.0986698
01/03/2025,10.0,11.1,1.0,31.0,179.6,23.3,3.1,259.1,61.18,4.25824184,3.69615387,0.0,0,0,24.15619299
01/04/2025,10.2,11.7,1.0,31.0,130.6,23.5,3.1,211.1,44.56,0.0,0.0,0.0,0,0,21.55356602
01/05/2025,9.9,11.9,1.0,30.4,136.9,23.4,3.1,216.6,46.05,0.0,0.0,0.0,0,0,20.21193429
01/06/2025,9.7,12.0,1.0,29.6,160.4,21.0,3.1,236.8,44.56,0.0,0.0,0.0,0,0,19.08986514
01/07/2025,9.7,12.6,1.0,29.5,136.7,21.3,3.1,213.9,46.05,0.0,0.0,0.0,0,0,19.8008922
01/08/2025,9.6,12.9,1.0,30.0,134.1,22.1,3.1,212.8,46.05,0.0,0.0,0.0,0,0,19.78994984
01/09/2025,9.4,13.3,1.0,29.7,173.1,21.6,3.1,251.2,44.56,0.0,0.0,0.0,0,0,20.21338404
01/10/2025,9.1,14.0,1.1,30.1,221.5,21.5,3.1,300.4,97.04,0.0,0.0,0.0,0,0,22.32376873
01/11/2025,9.2,14.4,1.0,30.4,208.3,23.7,3.1,290.1,93.91,0.0,0.0,0.0,0,0,23.54470582
01/12/2025,9.0,15.2,1.0,30.8,176.3,24.6,3.1,260.0,97.04,0.0,0.0,0.0,0,0,24.92933939
01/01/2026,8.9,15.8,1.0,31.2,144.2,24.2,3.1,228.4,97.04,0.0,0.0,0.0,0,0,25.68346684
01/02/2026,8.2,16.5,1.0,29.9,172.0,26.2,3.1,256.9,87.65,0.0,0.0,0.0,0,0,22.99458715
01/03/2026,8.0,19.0,1.0,30.3,155.8,24.4,3.1,241.6,97.04,0.0,0.0,0.0,0,0,23.5559963
01/04/2026,8.1,19.9,0.9,29.6,124.2,24.3,3.1,210.1,69.17,0.0,0.0,1.22,0,0,21.30816005
01/05/2026,7.3,20.9,1.0,29.3,119.7,25.1,3.1,206.4,71.47,0.0,0.0,1.22,0,0,19.92977583
01/06/2026,6.8,21.4,0.9,28.3,118.7,25.6,3.1,204.8,69.17,0.0,0.0,1.22,0,0,18.9108161
01/07/2026,6.9,23.0,0.8,28.9,111.0,26.1,3.1,199.8,71.47,0.0,0.0,1.22,0,0,19.55636599
01/08/2026,6.2,23.7,0.9,29.0,114.6,25.9,3.1,203.4,71.47,0.0,0.0,1.22,0,0,19.6058604
01/09/2026,4.9,24.2,1.2,28.7,127.2,25.7,3.1,215.0,69.17,0.0,0.0,1.22,0,0,20.11570489
01/10/2026,3.8,25.0,1.4,29.5,145.4,26.0,3.1,234.2,71.47,0.0,0.0,1.22,0,0,22.22862786
01/11/2026,5.2,25.9,1.1,29.7,126.4,27.6,3.1,219.0,69.17,0.0,0.0,1.22,0,0,23.6312989
01/12/2026,4.7,26.9,1.2,30.3,132.7,27.3,3.1,226.2,71.47,0.0,0.0,1.22,0,0,25.08570406
