Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Dec-22,13.7,137.8,2.7,36.4,21.4,241.0,6.1,459.1,32.58,1.02,4.09,62.6,45.9
Jan-23,11.2,151.1,2.2,38.9,15.9,259.3,6.1,484.7,32.58,1.02,4.09,62.6,47.2
Feb-23,9.5,126.9,1.9,29.2,16.0,307.6,6.1,497.2,29.43,0.92,3.69,56.54,42.2
Mar-23,9.8,90.0,1.9,20.6,14.4,252.8,6.1,395.6,32.58,1.02,4.09,62.6,43.9
Apr-23,10.6,88.2,2.1,18.6,16.6,199.8,6.1,342.0,35.4,0.0,0.0,0.0,22.3
May-23,10.0,82.5,2.0,15.9,15.2,188.0,6.1,319.7,36.58,0.0,0.0,0.0,22.2
Jun-23,9.9,79.3,1.9,14.9,14.9,221.1,6.1,348.1,35.4,0.0,0.0,0.0,19.9
Jul-23,9.8,75.0,1.9,15.2,15.0,171.5,6.1,294.5,36.58,0.0,0.0,0.0,20.6
Aug-23,9.7,78.5,1.9,16.8,15.8,160.4,6.1,289.2,36.58,0.0,0.0,0.0,20.1
Sep-23,9.6,81.4,1.8,18.0,16.2,218.1,6.1,351.2,35.4,0.0,0.0,0.0,21.0
Oct-23,10.0,84.6,1.8,22.6,16.7,320.0,6.1,461.8,36.58,0.0,0.0,0.0,22.8
Nov-23,9.6,83.7,1.8,21.7,17.0,304.8,6.1,444.7,35.4,0.0,0.0,0.0,25.5
Dec-23,9.6,83.6,1.8,24.1,17.6,219.0,6.1,361.8,36.58,0.0,0.0,0.0,26.8
Jan-24,8.9,77.0,1.6,34.0,18.9,226.6,6.1,373.1,36.58,0.0,0.0,0.0,27.4
Feb-24,7.7,68.4,1.3,37.0,22.0,272.0,6.1,414.5,34.22,0.0,0.0,0.0,23.1
Mar-24,7.9,67.1,1.2,51.9,22.9,255.8,6.1,412.9,36.58,0.0,0.0,0.0,24.5
Apr-24,7.5,61.6,1.1,55.2,20.2,230.0,6.1,381.7,38.76,0.0,0.0,0.0,22.3
May-24,6.4,60.3,0.9,65.3,22.2,245.2,6.1,406.4,40.05,0.0,0.0,0.0,22.3
Jun-24,5.5,58.1,0.7,72.3,21.5,229.9,6.1,394.1,38.76,0.0,0.0,0.0,19.9
Jul-24,5.1,59.7,0.7,73.1,18.7,217.4,6.1,380.8,40.05,0.0,0.0,0.0,20.7
Aug-24,5.0,59.8,0.6,74.4,20.8,251.2,6.1,417.9,40.05,0.0,0.0,0.0,20.2
Sep-24,5.4,58.0,0.5,79.8,28.0,278.1,6.1,455.9,38.76,0.0,0.0,0.0,21.1
Oct-24,8.0,59.6,0.4,94.7,30.8,306.1,6.1,505.7,40.05,0.0,0.0,0.0,22.9
Nov-24,5.7,58.2,0.5,84.1,29.1,245.9,6.1,429.6,38.76,0.0,0.0,0.0,25.6
