Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
Dec-23,10.3,29.3,2.1,33.1,122.0,17.1,3.3,217.2,36.58,4.26,25.0
Jan-24,10.1,28.5,2.0,33.5,126.1,17.2,3.3,220.7,36.58,4.26,26.1
Feb-24,10.1,30.4,2.0,33.6,172.2,21.2,3.3,272.8,34.22,3.85,24.2
Mar-24,10.0,30.3,1.9,33.0,143.5,18.4,3.3,240.4,36.58,4.26,23.9
Apr-24,9.9,29.8,1.9,32.5,117.3,19.2,3.3,213.9,38.76,0.0,22.0
May-24,10.0,29.3,1.9,32.0,122.9,19.8,3.3,219.2,40.05,0.0,20.8
Jun-24,9.8,29.5,1.9,31.9,114.9,17.4,3.3,208.7,38.76,0.0,19.7
Jul-24,9.6,29.5,1.9,32.0,95.9,18.0,3.3,190.2,40.05,0.0,20.2
Aug-24,9.6,31.8,1.8,33.2,113.1,19.5,3.3,212.3,40.05,0.0,20.1
Sep-24,10.0,32.8,1.8,33.6,135.7,19.1,3.3,236.3,38.76,0.0,20.4
Oct-24,10.5,34.6,1.8,34.6,180.4,17.7,3.3,282.9,61.18,0.0,22.4
Nov-24,10.0,34.6,1.8,34.6,159.6,20.8,3.3,264.7,59.2,0.0,23.5
Dec-24,9.8,34.5,1.7,34.8,140.2,21.5,3.3,245.8,61.18,0.0,24.5
Jan-25,10.0,34.4,1.6,34.2,128.4,20.7,3.3,232.6,61.18,0.0,25.3
Feb-25,10.7,32.4,1.4,32.3,137.0,25.1,3.3,242.2,55.26,0.0,22.9
Mar-25,9.7,33.8,1.2,32.9,122.6,24.6,3.3,228.1,61.18,0.0,23.2
Apr-25,8.0,32.9,1.1,31.8,106.7,25.4,3.3,209.2,44.56,0.0,22.8
May-25,8.7,33.2,0.9,31.6,106.7,27.3,3.3,211.7,46.05,0.0,21.8
Jun-25,7.3,31.0,0.7,29.7,97.5,27.1,3.3,196.6,44.56,0.0,20.7
Jul-25,5.8,33.2,0.7,31.2,95.4,26.6,3.3,196.2,46.05,0.0,21.3
Aug-25,6.9,34.2,0.7,31.4,104.6,26.6,3.3,207.7,46.05,0.0,21.1
Sep-25,10.6,33.8,0.6,30.7,116.2,29.1,3.3,224.3,44.56,0.0,21.6
Oct-25,12.9,35.7,0.6,32.0,130.9,28.2,3.3,243.6,46.05,0.0,23.3
Nov-25,10.8,35.7,0.6,31.6,100.5,28.8,3.3,211.3,44.56,0.0,23.4
