Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/12/2024,12.0,12.0,1.2,38.1,203.3,30.2,2.9,299.7,61.18,4.25824184,3.69615387,0.0,0,0,26.08924435
01/01/2025,11.1,11.7,1.1,34.9,164.4,26.7,2.9,252.8,61.18,4.25824184,3.69615387,0.0,0,0,26.90392587
01/02/2025,10.5,11.6,1.0,32.9,188.5,27.0,2.9,274.4,55.26,3.84615392,3.33846156,0.0,0,0,23.78446695
01/03/2025,10.3,11.9,1.0,31.7,190.0,23.7,2.9,271.5,61.18,4.25824184,3.69615387,0.0,0,0,23.81190625
01/04/2025,10.0,12.0,1.0,30.0,147.1,22.4,2.9,225.4,44.56,0.0,0.0,0.0,0,0,21.304212
01/05/2025,9.8,12.1,1.0,29.3,154.0,21.8,2.9,230.9,46.05,0.0,0.0,0.0,0,0,20.0173396
01/06/2025,9.7,12.4,1.0,29.3,169.5,20.9,2.9,245.7,44.56,0.0,0.0,0.0,0,0,18.87882826
01/07/2025,9.6,12.9,1.0,29.0,141.7,20.9,2.9,218.0,46.05,0.0,0.0,0.0,0,0,19.58420222
01/08/2025,9.5,13.2,1.0,29.2,144.7,21.8,2.9,222.3,46.05,0.0,0.0,0.0,0,0,19.62887751
01/09/2025,9.5,13.5,1.0,29.4,176.6,21.2,2.9,254.1,44.56,0.0,0.0,0.0,0,0,20.10782677
01/10/2025,9.4,14.1,1.0,29.8,204.2,22.3,2.9,283.7,97.04,0.0,0.0,0.0,0,0,22.22596762
01/11/2025,9.4,14.6,0.9,29.7,185.2,22.9,2.9,265.6,93.91,0.0,0.0,0.0,0,0,23.61525559
01/12/2025,9.2,15.1,1.0,29.8,168.4,23.2,2.9,249.6,97.04,0.0,0.0,0.0,0,0,25.02302546
01/01/2026,8.7,16.8,1.0,29.6,156.6,23.3,2.9,238.9,97.04,0.0,0.0,0.0,0,0,25.79623627
01/02/2026,8.2,17.2,0.9,28.4,161.6,24.6,2.9,243.8,87.65,0.0,0.0,0.0,0,0,23.05717188
01/03/2026,8.1,19.7,0.9,29.1,151.2,25.2,2.9,237.1,97.04,0.0,0.0,0.0,0,0,23.61095122
01/04/2026,8.1,20.4,0.8,28.3,128.6,24.5,2.9,213.6,69.17,0.0,0.0,1.22,0,0,21.28676733
01/05/2026,7.6,21.3,0.8,28.1,127.3,25.7,2.9,213.7,71.47,0.0,0.0,1.22,0,0,19.90200027
01/06/2026,6.8,21.9,0.8,27.5,117.0,26.3,2.9,203.2,69.17,0.0,0.0,1.22,0,0,18.87942903
01/07/2026,7.1,23.9,0.7,28.8,111.6,26.3,2.9,201.3,71.47,0.0,0.0,1.22,0,0,19.49835925
01/08/2026,6.9,24.0,0.7,28.5,122.7,26.7,2.9,212.4,71.47,0.0,0.0,1.22,0,0,19.56922169
01/09/2026,6.4,23.4,0.8,27.4,140.5,27.3,2.9,228.7,69.17,0.0,0.0,1.22,0,0,20.06526886
01/10/2026,5.9,24.3,0.8,28.1,161.6,27.3,2.9,250.9,71.47,0.0,0.0,1.22,0,0,22.19116779
01/11/2026,6.3,24.5,0.8,28.2,124.9,28.3,2.9,215.9,69.17,0.0,0.0,1.22,0,0,23.88926763
