Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Jun-22,9.7,45.4,1.9,45.2,16.5,87.2,2.9,208.8,31.53,0.99,3.96,33.0
Jul-22,9.9,59.8,2.0,47.2,16.9,93.5,2.9,232.2,32.58,1.02,4.09,34.5
Aug-22,9.8,60.4,1.9,42.1,17.1,109.7,2.9,243.9,32.58,1.02,4.09,32.9
Sep-22,9.8,71.4,1.9,40.1,17.1,136.3,2.9,279.5,31.53,0.99,3.96,33.8
Oct-22,9.9,70.3,1.9,35.0,16.5,158.0,2.9,294.5,32.58,1.02,4.09,40.3
Nov-22,9.9,74.6,1.9,33.8,17.6,155.9,2.9,296.6,31.53,0.99,3.96,43.5
Dec-22,9.8,79.0,1.9,32.4,17.5,152.7,2.9,296.2,32.58,1.02,4.09,43.1
Jan-23,9.8,78.3,1.8,29.8,16.8,164.1,2.9,303.5,32.58,1.02,4.09,43.7
Feb-23,9.9,70.1,1.8,25.9,18.7,164.7,2.9,294.0,29.43,0.92,3.69,38.9
Mar-23,9.9,63.6,1.8,23.6,17.3,151.9,2.9,271.0,32.58,1.02,4.09,38.7
Apr-23,9.6,56.1,1.8,20.5,17.5,119.1,2.9,227.5,25.65,0.0,0.0,18.7
May-23,9.5,56.7,1.8,20.0,17.6,124.7,2.9,233.2,26.5,0.0,0.0,17.9
Jun-23,9.1,55.9,1.7,18.6,16.6,118.7,2.9,223.5,25.65,0.0,0.0,16.6
Jul-23,8.3,57.8,1.6,25.9,16.5,115.3,2.9,228.3,26.5,0.0,0.0,17.4
Aug-23,7.9,59.2,1.4,33.6,16.4,137.0,2.9,258.4,26.5,0.0,0.0,16.6
Sep-23,9.0,59.0,1.3,40.4,16.9,166.9,2.9,296.4,25.65,0.0,0.0,17.0
Oct-23,9.4,61.4,1.0,46.6,16.5,183.3,2.9,321.1,26.5,0.0,0.0,20.3
Nov-23,9.3,60.5,0.9,61.9,18.8,159.8,2.9,314.1,25.65,0.0,0.0,21.9
Dec-23,8.4,62.3,0.8,68.7,18.4,198.3,2.9,359.8,26.5,0.0,0.0,21.7
Jan-24,9.1,62.3,0.7,71.5,18.4,124.1,2.9,289.0,26.5,0.0,0.0,22.0
Feb-24,8.9,55.8,0.6,56.8,15.1,145.1,2.9,285.2,24.79,0.0,0.0,19.6
Mar-24,9.2,61.7,0.7,67.7,17.4,156.5,2.9,316.1,26.5,0.0,0.0,19.5
Apr-24,7.6,59.8,0.7,66.0,16.8,150.0,2.9,303.8,27.08,0.0,0.0,19.1
May-24,7.5,61.4,0.6,64.9,15.7,152.9,2.9,305.9,27.98,0.0,0.0,18.3
