Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
Jun-24,11.5,20.4,1.2,32.0,148.3,22.1,2.9,238.4,38.76,,,19.52848626
Jul-24,10.8,18.4,1.1,29.6,112.0,20.8,2.9,195.6,40.05,,,20.13468757
Aug-24,10.5,16.4,1.1,28.9,100.1,21.2,2.9,181.1,40.05,,,20.05310278
Sep-24,10.5,14.8,1.0,29.6,134.5,21.2,2.9,214.5,38.76,,,20.34549445
Oct-24,10.0,13.2,1.0,28.6,206.2,19.6,2.9,281.5,61.18,4.26,3.7,22.45322253
Nov-24,9.8,14.8,1.0,29.5,185.6,23.5,2.9,267.1,59.2,4.12,3.58,24.1508404
Dec-24,9.8,15.3,1.0,30.0,146.2,24.0,2.9,229.2,61.18,4.26,3.7,25.37313363
Jan-25,9.7,14.5,1.0,30.2,124.0,22.8,2.9,205.1,61.18,4.26,3.7,26.07633145
Feb-25,9.6,11.0,1.0,28.9,161.3,25.5,2.9,240.2,55.26,3.85,3.34,23.33280829
Mar-25,9.7,11.2,1.0,29.1,157.1,21.9,2.9,232.9,61.18,4.26,3.7,23.78345064
Apr-25,9.6,10.1,1.0,28.5,113.3,22.0,2.9,187.4,44.56,,,21.26589942
May-25,9.4,9.4,1.0,28.5,126.9,22.1,2.9,200.2,46.05,,,20.13225102
Jun-25,9.4,9.3,0.9,28.3,149.2,20.4,2.9,220.4,44.56,,,19.01611667
Jul-25,8.9,12.9,0.9,29.0,122.2,22.4,2.9,199.2,46.05,,,19.71911161
Aug-25,8.0,15.3,0.9,29.2,109.9,24.8,2.9,191.0,46.05,,,19.62108655
Sep-25,7.8,17.1,0.8,29.0,133.1,25.1,2.9,215.8,44.56,,,20.04180749
Oct-25,6.8,21.5,0.9,29.7,163.0,26.9,2.9,251.7,46.05,,,22.05145711
Nov-25,6.6,25.2,0.8,30.1,126.9,28.2,2.9,220.7,44.56,,,23.37358618
Dec-25,6.0,30.0,0.8,31.2,127.7,29.6,2.9,228.2,46.05,,,24.68498587
Jan-26,5.8,28.9,0.9,30.5,87.8,31.1,2.9,187.9,46.05,,,25.22090759
Feb-26,5.2,25.2,0.8,26.8,102.3,27.9,2.9,191.1,41.59,,,22.72012415
Mar-26,5.9,27.5,0.8,29.0,101.3,30.7,2.9,198.1,46.05,,,23.19014383
Apr-26,6.3,26.4,0.6,27.7,85.8,29.2,2.9,178.9,44.56,,,21.38064418
May-26,6.2,26.8,0.7,27.7,93.1,30.3,2.9,187.7,46.05,,,20.24758962
