Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/06/2025,8.8,8.8,0.9,24.3,148.4,13.2,4.7,209.1,44.6,0,0,0.0,0,0,19.3
01/07/2025,9.6,9.9,1.0,26.9,132.8,16.3,4.7,201.2,46.1,0,0,0.0,0,0,19.8
01/08/2025,9.7,10.4,1.0,27.2,145.2,17.2,4.7,215.4,46.1,0,0,0.0,0,0,19.7
01/09/2025,9.5,10.7,1.0,27.9,174.1,17.0,4.7,244.9,44.6,0,0,0.0,0,0,20.4
01/10/2025,9.4,11.1,1.0,28.3,209.1,17.0,4.7,280.6,97.0,0,0,0.0,0,0,22.7
01/11/2025,9.5,11.7,1.0,29.4,199.2,19.5,4.7,275.0,93.9,0,0,0.0,0,0,23.6
01/12/2025,9.3,12.3,1.0,29.8,182.9,20.3,4.7,260.3,97.0,0,0,0.0,0,0,25.1
01/01/2026,9.2,12.6,1.0,29.5,158.8,18.9,4.7,234.7,97.0,0,0,0.0,0,0,25.8
01/02/2026,9.0,12.4,1.0,28.6,204.7,20.2,4.7,280.6,87.7,0,0,0.0,0,0,23.1
01/03/2026,8.8,12.8,1.0,28.1,192.5,18.1,4.7,266.0,97.0,0,0,0.0,0,0,23.6
01/04/2026,9.0,12.9,1.0,27.5,146.0,17.3,4.7,218.4,69.2,0,0,1.2,0,0,21.1
01/05/2026,8.8,13.2,1.0,27.5,158.1,18.3,4.7,231.6,71.5,0,0,1.2,0,0,19.7
01/06/2026,8.5,13.3,1.0,27.3,171.5,16.8,4.7,243.1,69.2,0,0,1.2,0,0,18.8
01/07/2026,8.2,14.8,0.9,27.8,153.8,18.4,4.7,228.6,71.5,0,0,1.2,0,0,19.4
01/08/2026,7.6,16.6,0.9,28.3,149.5,19.6,4.7,227.2,71.5,0,0,1.2,0,0,19.4
01/09/2026,6.1,17.5,1.0,28.0,152.7,18.7,4.7,228.7,69.2,0,0,1.2,0,0,19.9
01/10/2026,5.3,19.9,1.1,29.1,156.2,19.8,4.7,236.1,71.5,0,0,1.2,0,0,22.2
01/11/2026,5.0,21.1,1.0,29.5,132.6,21.4,4.7,215.3,69.2,0,0,1.2,0,0,23.6
01/12/2026,4.8,23.6,1.0,30.3,131.2,22.3,4.7,217.9,71.5,0,0,1.2,0,0,25.2
01/01/2027,3.9,23.3,1.1,30.0,98.7,22.4,4.7,184.1,71.5,0,0,1.2,0,0,25.8
01/02/2027,3.3,20.8,1.1,27.3,105.1,20.6,4.7,182.9,64.6,0,0,1.2,0,0,23.0
01/03/2027,3.4,22.1,1.2,28.6,107.9,21.8,4.7,189.7,71.5,0,0,1.2,0,0,23.4
01/04/2027,3.1,21.5,1.0,27.7,97.5,20.8,4.7,176.3,69.0,0,0,2.8,0,0,21.2
01/05/2027,3.1,21.3,1.0,27.3,99.4,21.9,4.7,178.7,71.3,0,0,2.8,0,0,19.6
