Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP
Jun-20,6.110839279,4.366321557,2.474241571,26.39186216,10.76912097,2.782856,0,1.643863178,8.81344767,13.9011814,1.007946391,5.819883417,2.577322236,3.698630137,166.5017468,31.42305484,18.31068493,0.0,5.88142791,39.94383914,0.0
Jul-20,7.167419255,5.45411369,2.903787539,26.73465057,11.52777604,2.972596,0,1.846568357,9.082911269,14.60994672,1.171890175,5.665636837,2.561929697,3.821917808,183.125951,32.1561533,18.9210411,0.0,6.28330728,41.23502261,0.0
Aug-20,6.541569255,6.731337534,2.758720658,34.38189457,12.78844004,3.035843,0,1.666469361,9.597955749,15.1179998,1.284052818,5.53312344,1.545159449,3.821917808,212.3155082,31.89538144,18.9210411,0.0,7.249844297,50.20617761,0.0
Sep-20,8.119607099,9.175530121,3.347450676,43.45659568,11.81177597,3.035843,0,1.761269194,8.773887424,13.27583011,1.049152513,6.559580884,1.071485672,3.698630137,185.835396,32.9595349,18.31068493,1.41509434,6.236774149,58.30421465,0.0
Oct-20,9.310585669,11.25439432,3.167177801,45.86119366,12.52777604,2.972596,0,1.210690085,9.101970386,13.27683869,0.886843321,6.741886035,2.071198826,3.821917808,122.2050686,38.56711221,18.9210411,1.462264151,3.697149351,61.3615657,0.0
Nov-20,8.912247099,11.19450663,4.468159019,42.76393668,11.469199,3.567115,0,0.502129387,9.388502548,13.13784559,0.916175573,6.475297161,0.577171661,3.698630137,117.0709155,43.87272151,18.31068493,1.41509434,3.118035308,57.80025068,0.0
Dec-20,9.100145669,6.73375659,4.41104014,38.97231666,10.426545,2.529869,0,0.467609764,10.04094001,13.34464246,0.882285583,7.070326985,1.022065437,3.821917808,108.8234611,45.80696492,18.9210411,1.462264151,2.820679488,51.92873066,0.0
Jan-21,9.888075669,4.981960405,4.515328301,34.15774166,8.914696,2.163038,0,0.643814364,10.29715057,13.14343909,0.851570155,7.006655566,-0.550027602,3.787671233,99.80111341,45.44360729,18.9210411,1.462264151,2.750319046,45.23547566,4.8
Feb-21,10.95987117,8.317691699,3.755310506,40.80199663,7.550256586,1.831974345,0,0.119231031,8.712608818,12.30866548,0.890712455,5.703072033,2.251210838,3.791780822,106.9943824,42.20939029,17.0899726,1.320754717,3.084742728,50.18422756,4.8
Mar-21,9.030929904,8.089692755,4.340156181,39.18898877,6.323774924,1.534384429,0,0.223143885,9.713440979,13.4090407,1.043739528,6.093592728,0.284658128,3.795890411,103.0714333,45.34764753,18.9210411,1.462264151,2.828255611,47.04714813,4.8
