Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
May-22,10.2,44.4,2.0,33.5,16.5,86.2,4,196.8,32.58,1.02,3.83,35.6
Jun-22,9.7,51.1,1.9,36.3,13.8,99.9,6,218.7,31.53,0.99,3.96,33.0
Jul-22,9.7,60.3,1.9,36.6,14.6,95.6,5,223.7,32.58,1.02,4.09,34.5
Aug-22,9.6,63.2,1.9,33.7,15.1,113.6,5,242.1,32.58,1.02,4.09,32.9
Sep-22,9.8,71.9,1.9,32.2,15.6,139.4,4,274.8,31.53,0.99,3.96,33.8
Oct-22,9.9,78.5,1.9,30.8,16.3,169.7,3,310.1,32.58,1.02,4.09,40.3
Nov-22,9.9,77.8,1.9,28.8,16.5,161.1,4,300.0,31.53,0.99,3.96,43.5
Dec-22,9.8,77.8,1.8,27.4,16.3,152.9,4,290.0,32.58,1.02,4.09,43.1
Jan-23,9.8,76.7,1.8,25.2,16.0,162.8,4,296.3,32.58,1.02,4.09,43.7
Feb-23,9.9,69.6,1.8,22.5,16.3,164.5,5,289.6,29.43,0.92,3.69,38.9
Mar-23,9.9,64.3,1.8,21.1,14.1,153.0,6,270.2,26.57,0.0,0.0,38.7
Apr-23,9.6,57.9,1.7,18.8,15.5,121.6,5,230.1,25.72,0.0,0.0,18.7
May-23,9.3,58.6,1.7,19.4,15.6,124.6,5,234.2,26.57,0.0,0.0,17.9
Jun-23,8.9,59.0,1.5,23.7,12.1,131.7,7,243.9,25.72,0.0,0.0,16.6
Jul-23,7.7,61.8,1.4,32.1,13.2,127.5,6,249.7,26.57,0.0,0.0,17.4
Aug-23,7.3,63.5,1.2,39.8,13.5,150.6,6,281.9,26.57,0.0,0.0,16.6
Sep-23,8.9,62.8,1.1,45.9,13.8,178.6,5,316.1,25.72,0.0,0.0,17.0
Oct-23,9.3,65.3,0.8,51.4,13.8,191.6,4,336.2,26.57,0.0,0.0,20.3
Nov-23,9.2,65.1,0.7,68.6,15.9,167.0,5,331.5,25.72,0.0,0.0,21.9
Dec-23,8.4,66.5,0.6,67.5,15.4,198.8,5,362.2,26.57,0.0,0.0,21.7
Jan-24,9.0,66.6,0.6,70.7,15.2,123.4,5,290.5,26.5,0.0,0.0,22.0
Feb-24,8.9,60.4,0.4,56.4,10.3,144.9,6,287.3,24.79,0.0,0.0,19.6
Mar-24,9.2,66.2,0.5,66.3,13.5,159.2,5,319.9,26.5,0.0,0.0,19.5
Apr-24,7.5,64.8,0.5,64.3,13.5,154.9,5,310.5,25.64,0.0,0.0,19.1
