Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
May-23,11.1,22.0,2.2,38.6,20.7,161.0,3.3,258.9,36.58,0,0,0,0.0,21.3
Jun-23,11.4,11.9,2.3,37.0,19.9,97.0,3.3,182.8,35.4,0,0,0,0.0,20.3
Jul-23,10.4,11.5,2.1,33.9,19.3,119.0,3.3,199.5,36.58,0,0,0,19.73,20.4
Aug-23,10.4,12.1,2.1,33.9,20.8,112.4,3.3,195.0,36.58,0,0,0,19.73,20.5
Sep-23,10.3,23.0,2.0,35.4,18.2,123.9,3.3,216.1,35.4,0,0,0,19.09,20.8
Oct-23,9.9,38.4,1.9,39.3,17.9,144.6,3.3,255.3,36.58,0,0,0,19.73,22.6
Nov-23,9.8,45.8,1.9,40.2,18.9,132.3,3.3,252.2,35.4,0,0,0,19.09,25.6
Dec-23,9.9,51.7,1.9,41.4,18.2,123.3,3.3,249.7,36.58,0,0,0,19.73,26.1
Jan-24,9.7,55.9,1.8,41.9,18.6,128.3,3.3,259.5,36.58,0,0,0,19.73,27.0
Feb-24,9.3,52.0,1.8,39.1,21.5,137.8,3.3,264.8,34.22,0,0,0,18.45,24.9
Mar-24,9.5,47.9,1.8,37.5,20.0,134.5,3.3,254.5,36.58,0,0,0,19.73,24.9
Apr-24,9.4,43.6,1.8,35.6,20.7,146.2,3.3,260.6,38.76,0,0,0,0.0,22.6
May-24,9.3,42.5,1.8,35.8,19.3,119.9,3.3,231.9,40.05,0,0,0,0.0,21.8
Jun-24,8.2,40.2,1.6,34.9,20.5,111.2,3.3,219.9,38.76,0,0,0,0.0,20.7
Jul-24,7.3,41.7,1.4,36.0,20.5,125.4,3.3,235.6,40.05,0,0,0,0.0,20.9
Aug-24,6.8,43.5,1.2,36.9,22.8,134.5,3.3,249.0,40.05,0,0,0,0.0,20.9
Sep-24,6.5,44.3,1.0,36.5,27.4,147.4,3.3,266.4,38.76,0,0,0,0.0,21.4
Oct-24,8.2,47.6,0.7,38.0,32.0,167.3,3.3,297.1,40.05,0,0,0,0.0,23.1
Nov-24,5.4,49.7,0.6,38.2,32.7,138.3,3.3,268.2,38.76,0,0,0,0.0,25.6
Dec-24,5.9,53.0,0.6,40.0,31.7,164.6,3.3,299.1,40.05,0,0,0,0.0,26.5
Jan-25,5.9,50.8,0.5,39.0,33.9,106.2,3.3,239.6,40.05,0,0,0,0.0,27.0
Feb-25,5.5,43.9,0.4,34.4,33.4,121.7,3.3,242.6,36.18,0,0,0,0.0,24.5
Mar-25,5.4,44.7,0.5,35.6,34.7,127.2,3.3,251.4,40.05,0,0,0,0.0,24.9
Apr-25,5.3,42.3,0.5,34.2,33.1,116.3,3.3,235.0,38.12,0,0,0,0.0,22.5
