Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
May-24,10.3,24.3,1.0,27.3,103.9,20.5,3.1,190.4,40.05,0.0,0.0,21.73429172
Jun-24,9.8,22.5,1.0,25.4,116.3,15.5,3.1,193.6,38.76,0.0,0.0,20.69615905
Jul-24,9.9,24.1,1.0,25.9,95.9,17.0,3.1,176.9,40.05,0.0,0.0,19.52848626
Aug-24,9.9,23.5,1.0,25.9,88.5,18.2,3.1,170.1,40.05,0.0,0.0,20.14420043
Sep-24,9.9,22.6,1.0,26.8,120.8,18.1,3.1,202.3,38.76,0.0,0.0,19.97961246
Oct-24,9.7,21.5,1.0,26.9,187.3,17.5,3.1,267.0,61.18,4.25824184,3.69615387,20.31404987
Nov-24,9.7,24.4,1.0,28.1,174.3,21.4,3.1,262.0,59.2,4.1208792,3.5769231,22.33001359
Dec-24,9.6,25.7,1.0,28.5,132.1,22.1,3.1,222.1,61.18,4.25824184,3.69615387,24.01661179
Jan-25,9.6,26.0,1.0,28.9,114.6,20.4,3.1,203.6,61.18,4.25824184,3.69615387,25.11956227
Feb-25,9.4,22.6,1.0,28.1,149.5,24.2,3.1,237.9,55.26,3.84615392,3.33846156,25.80787491
Mar-25,9.5,23.4,1.0,27.8,147.1,20.7,3.1,232.6,61.18,4.25824184,3.69615387,23.21985119
Apr-25,9.4,23.2,1.0,27.4,101.4,20.9,3.1,186.4,44.56,0.0,0.0,23.61665015
May-25,9.3,22.9,1.0,27.5,115.0,21.7,3.1,200.5,46.05,0.0,0.0,21.05523493
Jun-25,8.7,23.9,0.9,27.5,118.2,20.6,3.1,202.9,44.56,0.0,0.0,19.95542195
Jul-25,7.8,26.0,0.8,28.4,106.7,22.7,3.1,195.5,46.05,0.0,0.0,18.88345889
Aug-25,7.3,26.4,0.8,28.6,96.7,23.9,3.1,186.8,46.05,0.0,0.0,19.5241098
Sep-25,7.2,26.0,0.7,28.4,112.9,25.2,3.1,203.5,44.56,0.0,0.0,19.43816787
Oct-25,6.8,27.1,0.8,28.9,125.1,28.7,3.1,220.5,46.05,0.0,0.0,19.85799656
Nov-25,6.2,29.0,0.7,29.3,96.7,28.6,3.1,193.6,44.56,0.0,0.0,21.801583
Dec-25,6.2,30.1,0.7,30.4,106.6,29.7,3.1,206.8,46.05,0.0,0.0,23.24004636
Jan-26,6.2,30.0,0.7,30.0,71.5,29.2,3.1,170.7,46.05,0.0,0.0,24.43228611
Feb-26,5.4,25.6,0.5,26.3,86.3,24.9,3.1,172.1,41.59,0.0,0.0,24.95611503
Mar-26,6.1,27.2,0.7,28.4,84.5,29.8,3.1,179.8,46.05,0.0,0.0,22.58464842
Apr-26,5.1,26.2,0.6,27.2,74.0,29.5,3.1,165.7,44.56,0.0,0.0,22.97788108
