Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/05/2025,8.3,8.3,0.8,21.5,124.8,14.1,3.2,181.0,46.1,0,0,0.0,0,0,20.4
01/06/2025,9.2,9.6,0.9,25.4,151.1,15.8,3.2,215.2,44.6,0,0,0.0,0,0,19.2
01/07/2025,9.7,10.4,1.0,26.8,125.1,17.4,3.2,193.6,46.1,0,0,0.0,0,0,19.9
01/08/2025,9.5,10.6,1.0,26.8,136.5,18.3,3.2,205.9,46.1,0,0,0.0,0,0,19.8
01/09/2025,9.4,11.1,1.0,27.9,170.1,19.1,3.2,241.8,44.6,0,0,0.0,0,0,20.4
01/10/2025,9.3,11.8,1.0,28.7,207.2,18.9,3.2,280.1,97.0,0,0,0.0,0,0,22.7
01/11/2025,9.4,12.0,1.0,29.0,191.7,20.8,3.2,267.1,93.9,0,0,0.0,0,0,23.6
01/12/2025,9.2,12.5,1.0,29.1,174.6,21.8,3.2,251.4,97.0,0,0,0.0,0,0,25.0
01/01/2026,9.0,12.9,1.0,29.3,153.2,20.4,3.2,229.0,97.0,0,0,0.0,0,0,25.8
01/02/2026,8.8,12.6,1.0,28.4,198.4,22.9,3.2,275.3,87.7,0,0,0.0,0,0,23.1
01/03/2026,8.6,13.1,1.0,28.1,187.5,19.6,3.2,261.1,97.0,0,0,0.0,0,0,23.6
01/04/2026,8.8,13.1,1.0,27.5,140.5,19.3,3.2,213.4,69.2,0,0,0.0,0,0,21.1
01/05/2026,8.7,13.5,1.0,27.5,151.1,20.2,3.2,225.2,71.5,0,0,1.2,0,0,19.7
01/06/2026,7.7,14.3,1.0,27.0,152.4,18.8,3.2,224.4,69.2,0,0,1.2,0,0,18.8
01/07/2026,7.7,16.1,0.9,28.0,137.9,20.8,3.2,214.6,71.5,0,0,1.2,0,0,19.4
01/08/2026,6.9,17.3,1.0,28.2,135.6,22.3,3.2,214.5,71.5,0,0,1.2,0,0,19.4
01/09/2026,4.7,18.7,1.2,28.1,146.3,21.2,3.2,223.4,69.2,0,0,1.2,0,0,20.0
01/10/2026,3.5,20.5,1.3,28.7,149.3,22.1,3.2,228.6,71.5,0,0,1.2,0,0,22.2
01/11/2026,3.6,22.1,1.1,29.3,122.5,23.9,3.2,205.7,69.2,0,0,1.2,0,0,23.6
01/12/2026,3.7,23.2,1.2,29.9,133.3,24.6,3.2,219.1,71.5,0,0,1.2,0,0,25.1
01/01/2027,2.8,23.8,1.3,30.0,98.2,24.7,3.2,184.0,71.5,0,0,1.2,0,0,25.7
01/02/2027,1.9,21.5,1.3,27.4,107.7,23.1,3.2,186.1,64.6,0,0,1.2,0,0,23.0
01/03/2027,1.9,23.1,1.4,28.8,112.4,24.0,3.2,194.8,71.5,0,0,1.2,0,0,23.4
01/04/2027,2.1,22.3,1.1,28.0,99.9,23.3,3.2,179.9,69.0,0,0,2.8,0,0,21.2
