Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,BSUoS Cost Recovery £m,ALoMCP £m,CMP345/350 Deferred Costs £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Mar-22,12.6,34.0,2.5,53.2,25.4,185.6,313.3,24.0,5.8,1.1,1.8,0.0,46.0
Apr-22,10.7,91.0,2.1,45.0,22.8,131.8,303.4,23.3,0.0,1.1,0.0,2.5,40.0
May-22,11.0,65.3,2.2,45.9,24.6,115.4,264.4,24.0,0.0,1.1,0.0,2.6,37.9
Jun-22,10.9,82.6,2.2,41.5,25.8,107.5,270.5,23.3,0.0,1.1,0.0,2.5,35.7
Jul-22,11.1,41.1,2.2,41.8,23.7,102.3,222.2,24.0,0.0,1.1,0.0,2.6,36.4
Aug-22,10.7,75.3,2.1,36.3,24.7,81.6,230.7,24.0,0.0,1.1,0.0,2.6,36.7
Sep-22,,,,,,,220.9,23.3,0.0,1.1,0.0,2.5,38.2
Oct-22,,,,,,,252.1,24.0,0.0,0.0,0.0,2.6,40.7
Nov-22,,,,,,,246.9,23.3,0.0,0.0,0.0,2.5,48.8
Dec-22,,,,,,,246.6,24.0,0.0,0.0,0.0,2.6,49.7
Jan-23,,,,,,,246.2,24.0,0.0,0.0,0.0,2.6,53.7
Feb-23,,,,,,,236.4,21.7,0.0,0.0,0.0,2.3,44.7
Mar-23,,,,,,,199.9,24.0,0.0,0.0,0.0,2.6,46.0
Apr-23,,,,,,,206.5,23.3,0.0,0.0,0.0,0.0,40.0
May-23,,,,,,,219.5,24.0,0.0,0.0,0.0,0.0,37.9
Jun-23,,,,,,,218.6,23.3,0.0,0.0,0.0,0.0,35.7
Jul-23,,,,,,,200.2,24.0,0.0,0.0,0.0,0.0,36.4
Aug-23,,,,,,,217.1,24.0,0.0,0.0,0.0,0.0,36.7
Sep-23,,,,,,,225.3,23.3,0.0,0.0,0.0,0.0,38.2
Oct-23,,,,,,,252.7,24.0,0.0,0.0,0.0,0.0,40.7
Nov-23,,,,,,,255.6,23.3,0.0,0.0,0.0,0.0,48.8
Dec-23,,,,,,,224.2,24.0,0.0,0.0,0.0,0.0,49.7
Jan-24,,,,,,,251.4,24.0,0.0,0.0,0.0,0.0,53.7
Feb-24,,,,,,,201.5,21.7,0.0,0.0,0.0,0.0,44.7
,,,,,,,,,,,,,
