Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Feb-23,10.3,96.3,2.1,40.6,13.0,160.0,9.9,332.2,29.43,0.92,3.69,56.54,41.2
Mar-23,10.3,70.2,2.1,41.6,11.4,129.5,9.9,275.0,32.58,1.02,4.09,62.6,42.6
Apr-23,10.5,52.5,2.1,42.5,12.0,137.1,9.9,266.6,35.4,0.0,0.0,0.0,22.0
May-23,10.5,35.6,2.1,43.2,13.1,134.5,9.9,248.9,36.58,0.0,0.0,0.0,21.4
Jun-23,10.2,24.7,2.0,42.1,11.3,133.2,9.9,233.4,35.4,0.0,0.0,0.0,19.2
Jul-23,9.9,22.4,2.0,42.2,10.7,106.9,9.9,204.0,36.58,0.0,0.0,0.0,19.8
Aug-23,9.7,26.8,1.9,43.0,11.0,121.3,9.9,223.6,36.58,0.0,0.0,0.0,19.8
Sep-23,9.6,33.8,1.9,43.5,11.6,140.2,9.9,250.5,35.4,0.0,0.0,0.0,20.9
Oct-23,9.9,43.1,1.8,44.6,11.9,186.9,9.9,308.1,36.58,0.0,0.0,0.0,22.6
Nov-23,9.6,50.2,1.8,44.4,13.4,155.7,9.9,285.0,35.4,0.0,0.0,0.0,25.5
Dec-23,9.5,57.5,1.8,44.9,12.5,160.2,9.9,296.3,36.58,0.0,0.0,0.0,26.8
Jan-24,9.4,61.8,1.8,44.7,13.7,159.6,9.9,300.9,36.58,0.0,0.0,0.0,27.4
Feb-24,9.0,61.3,1.7,42.9,15.3,179.0,9.9,319.1,34.22,0.0,0.0,0.0,23.1
Mar-24,8.7,61.6,1.5,43.2,15.3,148.4,9.9,288.6,36.58,0.0,0.0,0.0,24.5
Apr-24,8.0,56.7,1.4,41.1,15.2,147.8,9.9,280.1,38.76,0.0,0.0,0.0,22.3
May-24,7.1,54.4,1.2,40.8,16.1,150.7,9.9,280.2,40.05,0.0,0.0,0.0,22.3
Jun-24,6.0,50.3,1.0,38.9,16.9,146.3,9.9,269.3,38.76,0.0,0.0,0.0,19.9
Jul-24,5.2,54.1,0.9,41.5,15.6,142.5,9.9,269.7,40.05,0.0,0.0,0.0,20.7
Aug-24,4.6,54.2,0.7,41.1,17.1,169.0,9.9,296.6,40.05,0.0,0.0,0.0,20.2
Sep-24,4.9,54.0,0.6,40.5,23.2,185.9,9.9,319.0,38.76,0.0,0.0,0.0,21.1
Oct-24,7.8,55.4,0.5,41.6,25.9,210.5,9.9,351.6,40.05,0.0,0.0,0.0,22.9
Nov-24,5.2,54.1,0.5,40.7,24.6,168.7,9.9,303.7,38.76,0.0,0.0,0.0,25.6
Dec-24,5.2,58.1,0.5,42.5,23.6,204.5,9.9,344.3,40.05,0.0,0.0,0.0,26.8
Jan-25,6.0,58.1,0.4,43.0,25.7,131.8,9.9,274.9,40.05,0.0,0.0,0.0,27.4
