Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
Feb-24,9.8,20.3,2.0,30.5,130.6,16.4,3.9,213.5,34.22, 4.0 , -   ,24.3
Mar-24,9.8,21.1,1.9,30.1,127.1,16.1,3.9,210.0,36.58, 4.2 , -   ,23.8
Apr-24,10.0,22.1,2.0,31.4,98.8,17.7,3.9,185.9,38.76, -   , -   ,21.8
May-24,9.9,21.3,1.9,31.0,100.6,19.4,3.9,188.0,40.05, -   , -   ,20.6
Jun-24,9.8,22.1,1.9,30.7,98.0,16.5,3.9,182.9,38.76, -   , -   ,19.5
Jul-24,9.7,22.6,1.9,31.1,79.8,17.0,3.9,166.0,40.05, -   , -   ,20.1
Aug-24,9.7,22.5,1.9,31.1,94.3,18.8,3.9,182.2,40.05, -   , -   ,20.0
Sep-24,9.8,24.5,1.9,31.9,112.4,18.1,3.9,202.5,38.76, -   , -   ,20.4
Oct-24,9.9,26.7,1.9,33.0,154.7,17.8,3.9,247.9,61.18, 4.3 , 3.7 ,22.3
Nov-24,9.7,26.8,1.8,33.1,136.1,19.8,3.9,231.2,59.2, 4.1 , 3.6 ,23.5
Dec-24,9.6,27.1,1.8,33.3,118.8,20.2,3.9,214.7,61.18, 4.3 , 3.7 ,24.5
Jan-25,9.7,27.6,1.8,33.4,111.2,19.4,3.9,207.0,61.18, 4.3 , 3.7 ,25.3
Feb-25,10.2,26.1,1.8,32.5,139.9,22.9,3.9,237.3,55.26, 3.8 , 3.3 ,22.9
Mar-25,9.3,26.0,1.6,31.9,114.2,21.6,3.9,208.5,61.18, 4.3 , 3.7 ,23.2
Apr-25,8.5,25.1,1.4,30.6,98.3,22.4,3.9,190.2,44.56, -   , -   ,21.9
May-25,8.5,24.5,1.3,29.5,95.7,24.7,3.9,188.1,46.05, -   , -   ,20.9
Jun-25,7.7,23.8,1.1,28.2,87.3,23.6,3.9,175.6,44.56, -   , -   ,19.8
Jul-25,6.3,25.7,0.9,28.8,80.7,24.1,3.9,170.4,46.05, -   , -   ,20.4
Aug-25,6.5,26.7,0.8,28.6,84.8,25.5,3.9,176.8,46.05, -   , -   ,20.3
Sep-25,8.8,26.7,0.8,28.1,93.3,28.6,3.9,190.2,44.56, -   , -   ,20.7
Oct-25,9.2,28.5,1.0,29.2,101.2,32.4,3.9,205.4,46.05, -   , -   ,22.6
Nov-25,8.8,28.4,0.8,28.8,81.3,29.2,3.9,181.2,44.56, -   , -   ,23.4
Dec-25,8.2,30.2,0.8,30.0,95.5,29.6,3.9,198.2,46.05, -   , -   ,24.5
Jan-26,9.3,30.2,0.8,30.1,61.0,30.9,3.9,166.2,46.05, -   , -   ,25.1
