Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/02/2025,9.7,9.7,1.0,30.8,168.7,24.6,3.7,248.2,55.3,3.8,3.3,0.0,0.0,0.0,24.1
01/03/2025,9.7,10.4,1.0,31.6,182.6,23.6,3.7,262.6,61.2,4.3,3.7,0.0,0.0,0.0,24.4
01/04/2025,10.0,11.2,1.0,32.0,140.7,24.1,3.7,222.7,44.6,0.0,0.0,0.0,0.0,0.0,21.7
01/05/2025,9.8,11.5,1.0,31.2,152.1,23.7,3.7,233.0,46.1,0.0,0.0,0.0,0.0,0.0,20.2
01/06/2025,9.7,11.8,1.0,30.8,174.4,22.1,3.7,253.5,44.6,0.0,0.0,0.0,0.0,0.0,19.0
01/07/2025,9.7,12.6,1.0,31.4,147.9,22.6,3.7,228.9,46.1,0.0,0.0,0.0,0.0,0.0,19.8
01/08/2025,9.6,13.0,1.0,31.4,143.5,23.3,3.7,225.5,46.1,0.0,0.0,0.0,0.0,0.0,19.7
01/09/2025,9.5,13.3,1.0,31.4,182.7,22.8,3.7,264.4,44.6,0.0,0.0,0.0,0.0,0.0,20.1
01/10/2025,9.2,14.1,1.1,31.8,224.6,22.4,3.7,306.9,97.0,0.0,0.0,0.0,0.0,0.0,22.3
01/11/2025,9.3,14.5,1.0,31.9,205.0,23.9,3.7,289.3,93.9,0.0,0.0,0.0,0.0,0.0,23.6
01/12/2025,9.1,15.3,1.0,32.2,175.4,25.5,3.7,262.2,97.0,0.0,0.0,0.0,0.0,0.0,25.0
01/01/2026,8.9,15.7,1.0,32.3,141.8,24.0,3.7,227.4,97.0,0.0,0.0,0.0,0.0,0.0,25.7
01/02/2026,8.9,15.3,1.0,31.0,181.3,26.2,3.7,267.4,87.7,0.0,0.0,0.0,0.0,0.0,23.0
01/03/2026,8.3,17.6,1.0,31.0,165.6,24.1,3.7,251.3,97.0,0.0,0.0,0.0,0.0,0.0,23.6
01/04/2026,8.4,18.8,0.9,30.5,139.8,23.4,3.7,225.5,69.2,0.0,0.0,1.2,0.0,0.0,21.2
01/05/2026,7.6,20.4,1.0,30.1,136.9,24.3,3.7,224.0,71.5,0.0,0.0,1.2,0.0,0.0,19.9
01/06/2026,7.3,20.9,1.0,29.0,135.5,24.2,3.7,221.6,69.2,0.0,0.0,1.2,0.0,0.0,18.9
01/07/2026,7.1,23.5,0.8,30.1,124.1,24.9,3.7,214.2,71.5,0.0,0.0,1.2,0.0,0.0,19.5
01/08/2026,6.1,25.5,0.9,30.2,122.9,25.1,3.7,214.4,71.5,0.0,0.0,1.2,0.0,0.0,19.6
01/09/2026,4.7,25.0,1.3,29.6,135.9,25.1,3.7,225.3,69.2,0.0,0.0,1.2,0.0,0.0,20.1
01/10/2026,3.8,26.2,1.4,30.4,153.7,25.2,3.7,244.4,71.5,0.0,0.0,1.2,0.0,0.0,22.2
01/11/2026,5.2,26.8,1.1,30.4,130.3,27.0,3.7,224.5,69.2,0.0,0.0,1.2,0.0,0.0,23.6
01/12/2026,4.6,27.8,1.2,30.8,138.5,26.3,3.7,232.9,71.5,0.0,0.0,1.2,0.0,0.0,25.1
01/01/2027,3.6,27.0,1.3,30.6,93.4,27.1,3.7,186.7,71.5,0.0,0.0,1.2,0.0,0.0,25.7
,,,,,,,,,,,,,,,
