Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Estimated BSUoS Volume (TWh)
Apr-22,10.1,73.0,2.0,39.4,16.4,137.1,4.0,282.0,31.53,0.99,0.0,37.02
May-22,10.0,70.3,2.0,34.9,16.5,144.6,4.0,282.3,32.58,1.02,3.88,35.58
Jun-22,9.9,73.6,2.0,36.8,13.8,142.5,6.0,284.6,31.53,0.99,4.01,32.98
Jul-22,9.8,75.6,1.9,34.4,14.8,145.1,5.0,286.6,32.58,1.02,4.15,34.5
Aug-22,9.7,75.6,1.9,31.0,14.9,159.9,5.0,298.0,32.58,1.02,4.15,32.91
Sep-22,9.9,78.3,1.9,28.2,15.9,165.6,4.0,303.8,31.53,0.99,4.01,33.78
Oct-22,10.0,81.1,1.9,27.3,174.0,16.6,3.0,313.9,32.58,1.02,4.15,40.34
Nov-22,10.0,80.6,1.8,25.4,161.3,15.9,4.0,299.0,31.53,0.99,4.01,43.47
Dec-22,9.9,79.8,1.8,24.3,159.4,16.0,4.0,295.2,32.58,1.02,4.15,43.08
Jan-23,10.0,78.5,1.8,23.3,145.0,15.7,4.0,278.3,32.58,1.02,4.15,43.66
Feb-23,10.0,68.9,1.7,20.4,165.9,16.0,5.0,287.9,29.43,0.92,3.75,38.94
Mar-23,10.1,62.8,1.7,20.2,158.1,14.2,6.0,273.1,32.58,1.02,4.15,38.74
Apr-23,9.8,54.7,1.7,17.9,140.9,14.7,5.0,244.7,25.64,0.0,0.0,37.35
May-23,10.0,56.4,1.5,25.6,161.7,15.2,5.0,275.4,26.5,0.0,0.0,35.89
Jun-23,9.6,57.7,1.3,31.3,177.1,12.2,7.0,296.2,25.64,0.0,0.0,33.27
Jul-23,8.7,60.5,1.2,38.7,151.0,12.9,6.0,279.0,26.5,0.0,0.0,34.8
Aug-23,8.7,62.8,0.9,47.0,177.1,12.8,6.0,315.3,26.5,0.0,0.0,33.2
Sep-23,10.2,63.4,0.7,56.6,194.6,14.1,5.0,344.6,25.64,0.0,0.0,34.08
Oct-23,10.6,67.9,0.5,67.8,209.2,15.8,4.0,375.8,26.5,0.0,0.0,40.69
Nov-23,10.2,65.8,0.5,66.1,168.6,14.2,5.0,330.4,25.64,0.0,0.0,43.85
Dec-23,9.9,68.1,0.4,68.3,197.0,14.3,5.0,363.0,26.5,0.0,0.0,43.46
Jan-24,10.2,68.7,0.4,71.9,129.9,14.6,5.0,300.7,26.5,0.0,0.0,44.04
Feb-24,9.8,59.5,0.3,65.7,156.9,11.8,6.0,310.0,24.79,0.0,0.0,39.28
Mar-24,10.8,62.7,0.3,73.7,166.4,14.7,5.0,333.6,26.5,0.0,0.0,39.08
,,,,,,,,,,,,
