Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
Apr-23,11.4,45.6,2.3,36.5,20.4,125.4,3.3,244.9,35.4,0,0,0,14.3,22.0
May-23,10.2,35.0,2.0,33.4,18.5,141.0,3.3,243.4,36.6,0,0,0,14.8,21.4
Jun-23,10.3,25.7,2.0,35.2,17.3,105.6,3.3,199.4,35.4,0,0,0,14.3,20.3
Jul-23,10.0,22.6,2.0,34.7,18.0,119.3,3.3,209.9,36.6,0,0,0,14.8,20.3
Aug-23,9.8,24.5,2.0,35.8,17.7,114.4,3.3,207.5,36.6,0,0,0,14.8,20.4
Sep-23,9.6,30.9,1.9,37.1,17.4,120.1,3.3,220.3,35.4,0,0,0,14.3,20.9
Oct-23,9.8,39.5,1.9,39.6,17.1,150.0,3.3,261.2,36.6,0,0,0,14.8,22.6
Nov-23,9.6,44.2,1.8,39.8,18.0,135.0,3.3,251.7,35.4,0,0,0,14.3,25.2
Dec-23,9.6,49.0,1.8,40.5,18.6,124.5,3.3,247.3,36.6,0,0,0,14.8,26.0
Jan-24,9.4,53.5,1.8,41.0,18.1,125.3,3.3,252.4,36.6,0,0,0,14.8,26.8
Feb-24,9.1,51.6,1.7,38.8,20.4,139.7,3.3,264.6,34.2,0,0,0,13.9,24.1
Mar-24,9.2,49.9,1.7,37.7,19.9,139.2,3.3,260.9,36.6,0,0,0,14.8,24.5
Apr-24,9.2,47.5,1.7,36.3,18.7,143.4,3.3,260.1,38.8,0,0,0,0.0,22.1
May-24,8.3,46.1,1.5,35.8,19.6,147.4,3.3,262.0,40.1,0,0,0,0.0,21.4
Jun-24,7.3,43.4,1.4,34.6,19.1,116.3,3.3,225.4,38.8,0,0,0,0.0,20.2
Jul-24,6.5,45.5,1.2,35.9,18.4,124.3,3.3,235.1,40.1,0,0,0,0.0,20.2
Aug-24,5.9,47.5,1.0,37.0,19.9,137.9,3.3,252.5,40.1,0,0,0,0.0,20.2
Sep-24,5.7,47.6,0.8,36.4,25.3,153.4,3.3,272.5,38.8,0,0,0,0.0,20.9
Oct-24,7.7,50.9,0.5,38.2,28.9,176.8,3.3,306.3,40.1,0,0,0,0.0,22.6
Nov-24,5.4,51.9,0.6,38.3,28.0,144.5,3.3,272.0,38.8,0,0,0,0.0,25.5
Dec-24,5.4,53.8,0.6,39.6,26.6,172.0,3.3,301.3,40.1,0,0,0,0.0,26.8
Jan-25,5.7,52.0,0.5,39.1,28.8,112.5,3.3,241.9,40.1,0,0,0,0.0,27.0
Feb-25,5.5,44.1,0.4,33.4,27.5,124.7,3.3,238.9,36.2,0,0,0,0.0,24.1
Mar-25,5.3,46.0,0.5,35.7,29.1,134.7,3.3,254.6,40.1,0,0,0,0.0,24.5
