Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),Estimated BSUoS Volume (TWh)
Apr-24,10.1,22.1,1.0,24.8,87.6,16.7,3.2,165.5,38.76, -   , -   ,21.73
May-24,10.1,20.8,1.0,24.4,92.5,16.7,3.2,168.7,40.05, -   , -   ,20.57
Jun-24,9.8,21.4,1.0,24.3,111.1,14.2,3.2,185.0,38.76, -   , -   ,19.39
Jul-24,9.8,22.6,1.0,24.7,89.6,15.1,3.2,166.0,40.05, -   , -   ,19.99
Aug-24,9.9,22.7,1.0,25.0,83.3,16.8,3.2,161.9,40.05, -   , -   ,19.99
Sep-24,9.8,20.6,1.0,25.1,118.0,16.4,3.2,194.1,38.76, -   , -   ,20.36
Oct-24,9.8,21.3,1.0,26.1,191.0,16.8,3.2,269.2,61.18,4.26,3.7,22.33
Nov-24,9.6,22.8,1.0,26.5,165.4,19.8,3.2,248.3,59.2,4.12,3.6,24.05
Dec-24,9.6,24.7,1.0,27.1,131.5,20.6,3.2,217.7,61.18,4.26,3.7,25.06
Jan-25,9.6,24.7,1.0,27.7,107.7,19.6,3.2,193.5,61.18,4.26,3.7,25.79
Feb-25,9.4,21.6,0.9,26.6,136.3,23.2,3.2,221.2,55.26,3.85,3.3,23.3
Mar-25,9.5,22.5,1.0,26.8,141.9,19.6,3.2,224.5,61.18,4.26,3.7,23.65
Apr-25,9.3,22.1,1.0,26.0,96.1,19.9,3.2,177.6,44.56, -   , -   ,21.29
May-25,8.8,22.4,0.9,26.3,97.4,21.7,3.2,180.7,46.05, -   , -   ,20.18
Jun-25,8.3,22.7,0.8,25.9,105.1,21.2,3.2,187.2,44.56, -   , -   ,19.09
Jul-25,7.3,24.1,0.8,26.7,94.8,22.5,3.2,179.4,46.05, -   , -   ,19.76
Aug-25,6.9,24.9,0.7,27.2,88.1,24.7,3.2,175.7,46.05, -   , -   ,19.67
Sep-25,7.2,24.1,0.7,26.7,98.4,26.1,3.2,186.4,44.56, -   , -   ,20.08
Oct-25,6.8,26.0,0.8,27.9,107.7,30.3,3.2,202.7,46.05, -   , -   ,22.02
Nov-25,6.6,26.1,0.7,27.7,88.0,28.9,3.2,181.2,44.56, -   , -   ,23.41
Dec-25,6.4,27.3,0.7,28.8,97.4,29.6,3.2,193.4,46.05, -   , -   ,24.52
Jan-26,6.7,26.6,0.7,28.4,65.1,29.6,3.2,160.3,46.05, -   , -   ,25.11
Feb-26,5.9,23.2,0.6,25.0,80.1,25.0,3.2,163.0,41.59, -   , -   ,22.76
Mar-26,6.6,25.3,0.7,27.5,77.9,30.3,3.2,171.5,46.05, -   , -   ,23.15
