Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/04/2025,10.6,10.6,1.1,30.6,140.9,21.9,2.9,218.6,44.6,0,0,0.0,0,0,21.6
01/05/2025,10.3,10.7,1.0,28.5,133.8,20.3,2.9,207.5,46.1,0,0,0.0,0,0,20.4
01/06/2025,9.8,10.6,1.0,27.5,164.9,17.5,2.9,234.2,44.6,0,0,0.0,0,0,19.1
01/07/2025,9.9,11.0,1.0,28.0,134.9,18.7,2.9,206.4,46.1,0,0,0.0,0,0,19.9
01/08/2025,9.8,11.4,1.0,28.4,133.0,20.1,2.9,206.6,46.1,0,0,0.0,0,0,19.8
01/09/2025,9.4,11.7,1.0,29.1,175.5,20.6,2.9,250.2,44.6,0,0,0.0,0,0,20.3
01/10/2025,9.1,12.2,1.0,29.6,230.4,20.6,2.9,305.8,97.0,0,0,0.0,0,0,22.5
01/11/2025,9.3,12.6,1.0,29.7,221.5,22.2,2.9,299.2,93.9,0,0,0.0,0,0,23.6
01/12/2025,9.0,13.3,1.0,29.9,187.4,22.8,2.9,266.3,97.0,0,0,0.0,0,0,25.0
01/01/2026,8.8,13.5,1.0,29.8,145.4,21.4,2.9,222.8,97.0,0,0,0.0,0,0,25.8
01/02/2026,8.6,13.2,1.0,28.5,193.6,23.3,2.9,271.1,87.7,0,0,0.0,0,0,23.1
01/03/2026,8.4,13.7,1.0,28.2,184.3,20.5,2.9,259.0,97.0,0,0,0.0,0,0,23.6
01/04/2026,8.8,13.3,1.0,27.1,122.6,19.9,2.9,195.6,69.2,0,0,1.2,0,0,21.2
01/05/2026,8.1,14.9,1.0,27.6,132.2,21.2,2.9,207.9,71.5,0,0,1.2,0,0,19.8
01/06/2026,7.1,15.7,0.9,27.1,142.3,20.0,2.9,216.0,69.2,0,0,1.2,0,0,18.8
01/07/2026,7.2,17.7,0.9,28.1,134.4,21.5,2.9,212.7,71.5,0,0,1.2,0,0,19.5
01/08/2026,6.4,19.2,1.0,28.5,126.0,22.9,2.9,206.9,71.5,0,0,1.2,0,0,19.5
01/09/2026,3.9,20.3,1.2,28.2,137.2,22.0,2.9,215.7,69.2,0,0,1.2,0,0,20.0
01/10/2026,2.7,22.0,1.3,28.9,151.5,22.6,2.9,231.9,71.5,0,0,1.2,0,0,22.2
01/11/2026,3.4,22.2,1.0,28.6,132.7,23.8,2.9,214.6,69.2,0,0,1.2,0,0,23.6
01/12/2026,3.5,23.7,1.2,29.6,135.3,24.8,2.9,221.0,71.5,0,0,1.2,0,0,25.1
01/01/2027,2.5,23.5,1.3,29.4,92.9,24.8,2.9,177.3,71.5,0,0,1.2,0,0,25.7
01/02/2027,1.6,21.3,1.3,26.8,103.0,22.5,2.9,179.4,64.6,0,0,1.2,0,0,23.0
01/03/2027,1.7,23.3,1.4,28.6,108.9,24.3,2.9,191.1,71.5,0,0,1.2,0,0,23.4
