Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Oct-22,9.9,35.3,2.0,19.7,16.9,153.6,2.9,240.3,32.58,1.02,4.09,62.6,40.3
Nov-22,10.0,128.5,2.0,44.4,17.6,261.9,2.9,467.3,31.53,0.99,3.96,60.58,43.5
Dec-22,10.0,157.5,2.0,48.4,17.6,292.7,2.9,531.1,32.58,1.02,4.09,62.6,43.1
Jan-23,10.0,159.3,1.9,43.6,17.0,307.1,2.9,541.8,32.58,1.02,4.09,62.6,43.7
Feb-23,10.0,154.2,1.9,37.0,19.2,328.9,2.9,554.1,29.43,0.92,3.69,56.54,38.9
Mar-23,10.0,118.1,1.9,27.5,17.8,278.8,2.9,457.0,32.58,1.02,4.09,62.6,38.7
Apr-23,9.8,82.3,1.9,19.7,17.6,177.9,2.9,312.1,28.56,0.0,0.0,0.0,22.3
May-23,9.8,80.2,1.9,17.6,18.0,174.0,2.9,304.4,29.51,0.0,0.0,0.0,22.2
Jun-23,9.6,77.7,1.8,16.7,17.0,171.6,2.9,297.3,28.56,0.0,0.0,0.0,19.9
Jul-23,9.3,74.1,1.8,17.3,17.3,151.3,2.9,274.0,29.51,0.0,0.0,0.0,20.6
Aug-23,9.4,76.7,1.8,18.3,17.7,171.1,2.9,297.9,29.51,0.0,0.0,0.0,20.1
Sep-23,10.0,78.0,1.7,17.6,17.2,206.2,2.9,333.6,28.56,0.0,0.0,0.0,21.0
Oct-23,10.2,80.5,1.7,22.0,17.6,251.2,2.9,386.1,29.51,0.0,0.0,0.0,22.8
Nov-23,9.9,77.0,1.5,29.3,18.3,238.3,2.9,377.2,28.56,0.0,0.0,0.0,25.5
Dec-23,9.6,74.6,1.4,39.8,19.2,268.0,2.9,415.5,29.51,0.0,0.0,0.0,26.8
Jan-24,9.6,68.8,1.2,46.4,18.1,214.2,2.9,361.2,29.51,0.0,0.0,0.0,27.4
Feb-24,9.3,60.1,0.9,40.2,15.6,246.7,2.9,375.7,27.61,0.0,0.0,0.0,23.1
Mar-24,10.1,61.1,0.8,60.0,18.4,261.6,2.9,414.9,29.51,0.0,0.0,0.0,24.5
Apr-24,8.7,58.3,0.8,68.1,18.8,246.2,2.9,403.8,28.44,0.0,0.0,0.0,22.3
May-24,8.6,59.2,0.7,69.7,18.5,246.3,2.9,405.9,29.39,0.0,0.0,0.0,22.3
Jun-24,7.8,57.0,0.7,70.8,17.6,220.5,2.9,377.3,28.44,0.0,0.0,0.0,19.9
Jul-24,6.3,59.2,0.7,75.2,17.8,217.6,2.9,379.7,29.39,0.0,0.0,0.0,20.7
Aug-24,7.1,58.5,0.6,72.1,17.1,246.0,2.9,404.3,29.39,0.0,0.0,0.0,20.2
Sep-24,10.2,56.8,0.5,69.3,17.1,257.6,2.9,414.4,28.44,0.0,0.0,0.0,21.1
