Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
01/10/2023,11.2,17.9,2.2,34.5,141.4,19.2,2.8,229.2,36.6,4.3,22.7
01/11/2023,10.4,24.8,2.1,34.9,120.6,19.5,2.8,215.1,35.4,4.1,24.2
01/12/2023,10.2,30.8,2.0,35.7,111.5,19.6,2.8,212.6,36.6,4.3,25.2
01/01/2024,10.1,37.3,2.0,37.3,125.3,18.3,2.8,233.1,36.6,4.3,25.8
01/02/2024,9.8,39.0,1.9,36.6,151.9,21.9,2.8,263.9,34.2,3.9,24.1
01/03/2024,9.8,36.9,1.9,34.7,133.8,19.3,2.8,239.2,36.6,4.3,23.9
01/04/2024,9.7,37.0,1.9,34.1,136.3,19.2,2.8,241.0,38.8,0.0,22.3
01/05/2024,9.7,36.6,1.9,33.7,121.1,20.1,2.8,225.9,40.1,0.0,21.4
01/06/2024,9.5,36.8,1.8,33.8,119.2,18.7,2.8,222.6,38.8,0.0,20.4
01/07/2024,9.3,35.6,1.8,33.3,119.3,19.3,2.8,221.4,40.1,0.0,20.8
01/08/2024,9.2,37.3,1.8,34.4,136.0,20.1,2.8,241.6,40.1,0.0,20.7
01/09/2024,9.4,38.1,1.7,35.0,146.1,20.3,2.8,253.4,38.8,0.0,21.0
01/10/2024,9.7,40.2,1.7,36.2,155.4,20.9,2.8,266.9,40.1,0.0,22.7
01/11/2024,8.7,40.8,1.5,36.3,128.8,23.2,2.8,242.1,38.8,0.0,23.8
01/12/2024,8.1,41.7,1.4,36.6,129.0,24.4,2.8,244.0,40.1,0.0,24.6
01/01/2025,7.7,41.7,1.1,36.4,107.9,26.9,2.8,224.5,40.1,0.0,25.3
01/02/2025,7.1,37.5,0.9,32.9,121.9,29.0,2.8,232.1,36.2,0.0,23.1
01/03/2025,6.7,39.8,0.8,34.6,120.5,30.5,2.8,235.7,40.1,0.0,23.5
01/04/2025,6.0,38.3,0.7,32.9,109.1,30.2,2.8,220.0,38.2,0.0,22.0
01/05/2025,6.5,37.4,0.6,32.8,111.3,31.5,2.8,222.9,39.5,0.0,21.2
01/06/2025,5.1,34.2,0.5,30.4,106.0,29.7,2.8,208.7,38.2,0.0,20.2
01/07/2025,4.7,35.8,0.6,31.8,104.2,27.8,2.8,207.7,39.5,0.0,20.6
01/08/2025,5.3,36.5,0.5,32.1,113.8,28.9,2.8,219.9,39.5,0.0,20.5
01/09/2025,6.7,37.3,0.4,31.8,130.1,33.8,2.8,242.9,38.2,0.0,20.9
