Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
Oct-24,10.8,10.8,1.1,30.3,206.0,21.2,3,283.2,61.18,4.26,3.7,0.0,0.0,0.0,22.63
Nov-24,10.2,10.6,1.0,29.3,199.6,21.9,3,275.6,59.2,4.12,3.58,0.0,0.0,0.0,24.61
Dec-24,10.3,11.1,1.0,29.6,149.3,22.7,3,227.0,61.18,4.26,3.7,0.0,0.0,0.0,25.85
Jan-25,10.3,11.9,1.0,31.1,133.7,23.6,3,214.6,61.18,4.26,3.7,0.0,0.0,0.0,26.62
Feb-25,10.1,11.8,1.0,30.3,165.0,25.2,3,246.4,55.26,3.85,3.34,0.0,0.0,0.0,23.54
Mar-25,9.8,11.8,1.0,28.2,155.8,20.7,3,230.3,61.18,4.26,3.7,0.0,0.0,0.0,24.02
Apr-25,9.7,11.9,1.0,27.4,115.2,20.4,3,188.6,44.56,0.0,0.0,0.71,0.0,0.0,21.12
May-25,9.6,12.2,1.0,27.2,129.5,20.6,3,203.1,46.05,0.0,0.0,0.71,0.0,0.0,19.81
Jun-25,9.5,12.3,1.0,27.0,153.6,18.6,3,225.0,44.56,0.0,0.0,0.71,0.0,0.0,18.7
Jul-25,9.4,12.8,0.9,27.1,125.0,19.6,3,197.8,46.05,0.0,0.0,0.71,0.0,0.0,19.41
Aug-25,9.3,13.4,0.9,27.7,122.2,21.1,3,197.6,46.05,0.0,0.0,0.71,0.0,0.0,19.42
Sep-25,9.3,13.6,1.0,28.1,159.5,20.9,3,235.4,44.56,0.0,0.0,0.71,0.0,0.0,19.95
Oct-25,9.1,14.7,1.0,29.0,211.2,21.4,3,289.4,46.05,0.0,0.0,0.71,-8.86,40.27,22.14
Nov-25,8.9,16.3,0.9,29.1,187.2,23.9,3,269.3,44.56,0.0,0.0,0.71,-8.57,38.97,23.78
Dec-25,8.4,18.3,0.9,29.5,160.0,24.9,3,245.0,46.05,0.0,0.0,0.71,-8.86,40.27,25.21
Jan-26,7.9,19.1,0.9,28.7,127.8,25.2,3,212.6,46.05,0.0,0.0,0.71,-8.86,40.27,26.01
Feb-26,7.3,19.0,0.9,27.2,137.9,25.4,3,220.7,41.59,0.0,0.0,0.71,-8.0,36.37,23.21
Mar-26,7.3,21.1,0.9,28.1,124.5,26.0,3,210.9,46.05,0.0,0.0,0.71,-8.86,40.27,23.74
Apr-26,7.3,21.8,0.7,27.5,99.6,25.7,3,185.6,44.56,0.0,0.0,2.76,0.0,0.0,21.19
May-26,7.2,21.1,0.8,27.1,107.6,26.3,3,193.1,46.05,0.0,0.0,2.76,0.0,0.0,19.78
Jun-26,6.8,20.8,0.8,26.4,104.9,27.1,3,189.8,44.56,0.0,0.0,2.76,0.0,0.0,18.77
Jul-26,6.9,21.8,0.7,27.3,98.6,26.4,3,184.7,46.05,0.0,0.0,2.76,0.0,0.0,19.39
Aug-26,6.7,22.1,0.7,27.1,107.5,26.5,3,193.6,46.05,0.0,0.0,2.76,0.0,0.0,19.44
Sep-26,6.1,21.9,0.9,26.5,129.2,27.0,3,214.6,44.56,0.0,0.0,2.76,0.0,0.0,19.97
