Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Other_£m,Constraints_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,ALoMCP £m,CMP381 Deferred Costs £m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Sep-22,10.0,63.5,2.0,26.1,17.0,146.8,3.1,268.5,31.53,0.99,3.96,0.0,33.8
Oct-22,9.8,99.8,1.9,34.0,15.7,229.2,3.1,393.5,32.58,1.02,4.09,54.51,40.3
Nov-22,9.9,174.0,1.9,51.8,17.0,327.1,3.1,584.8,31.53,0.99,3.96,52.75,43.5
Dec-22,9.8,171.0,1.9,46.2,17.1,323.7,3.1,572.8,32.58,1.02,4.09,54.51,43.1
Jan-23,9.9,162.6,1.9,39.4,16.6,319.2,3.1,552.7,32.58,1.02,4.09,54.51,43.7
Feb-23,10.0,137.8,1.9,30.3,17.9,317.3,3.1,518.3,29.43,0.92,3.69,49.23,38.9
Mar-23,10.0,114.7,1.9,23.8,17.1,282.9,3.1,453.5,32.58,1.02,4.09,54.51,38.7
Apr-23,9.8,91.0,1.9,18.4,17.6,198.4,3.1,340.2,28.56,0.0,0.0,0.0,22.3
May-23,9.7,89.0,1.8,17.3,17.5,195.2,3.1,333.6,29.51,0.0,0.0,0.0,22.2
Jun-23,9.6,86.6,1.8,16.4,16.4,192.6,3.1,326.5,28.56,0.0,0.0,0.0,19.9
Jul-23,9.2,82.5,1.8,16.9,16.8,171.8,3.1,302.1,29.51,0.0,0.0,0.0,20.6
Aug-23,9.2,84.0,1.8,18.5,17.3,191.4,3.1,325.3,29.51,0.0,0.0,0.0,20.1
Sep-23,9.7,84.5,1.7,18.8,16.7,224.2,3.1,358.7,28.56,0.0,0.0,0.0,21.0
Oct-23,9.8,81.8,1.5,25.6,16.5,280.6,3.1,418.9,29.51,0.0,0.0,0.0,22.8
Nov-23,9.7,78.3,1.4,37.8,18.2,271.6,3.1,420.1,28.56,0.0,0.0,0.0,25.5
Dec-23,9.0,75.3,1.2,46.9,18.2,316.3,3.1,470.0,29.51,0.0,0.0,0.0,26.8
Jan-24,9.2,69.5,1.1,56.3,18.4,233.9,3.1,391.5,29.51,0.0,0.0,0.0,27.4
Feb-24,9.0,58.8,0.8,49.9,16.2,279.1,3.1,416.9,27.61,0.0,0.0,0.0,23.1
Mar-24,9.5,60.3,0.7,67.7,18.3,308.7,3.1,468.3,29.51,0.0,0.0,0.0,24.5
Apr-24,8.2,58.3,0.7,66.7,17.7,291.1,3.1,445.8,28.44,0.0,0.0,0.0,22.3
May-24,7.8,59.1,0.7,67.8,17.1,293.7,3.1,449.3,29.39,0.0,0.0,0.0,22.3
Jun-24,7.2,56.9,0.7,69.5,16.8,270.7,3.1,424.9,28.44,0.0,0.0,0.0,19.9
Jul-24,5.5,58.5,0.7,74.7,16.8,263.3,3.1,422.6,29.39,0.0,0.0,0.0,20.7
Aug-24,6.3,58.6,0.6,74.3,16.7,298.5,3.1,458.1,29.39,0.0,0.0,0.0,20.2
