Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
01/09/2023,10.6,20.2,2.1,34.2,106.8,18.6,2.6,195.1,35.4,0.0,21.0
01/10/2023,10.1,17.3,2.0,31.5,117.6,17.5,2.6,198.6,36.6,4.26,22.7
01/11/2023,10.0,27.1,2.0,34.6,121.2,18.8,2.6,216.3,35.4,4.12,24.6
01/12/2023,9.9,34.0,1.9,36.7,115.3,19.1,2.6,219.5,36.6,4.26,25.3
01/01/2024,9.8,38.9,1.9,37.6,124.8,18.7,2.6,234.3,36.6,4.26,26.0
01/02/2024,9.6,38.5,1.9,36.2,143.5,22.2,2.6,254.5,34.2,3.85,24.1
01/03/2024,9.7,38.8,1.9,35.7,136.1,19.9,2.6,244.7,36.6,4.26,24.0
01/04/2024,9.6,38.2,1.9,34.9,134.5,19.4,2.6,241.1,38.8,0.0,22.3
01/05/2024,9.6,39.0,1.8,35.1,121.5,20.2,2.6,229.8,40.1,0.0,21.5
01/06/2024,9.3,38.4,1.8,34.7,117.9,18.7,2.6,223.4,38.8,0.0,20.4
01/07/2024,9.2,37.6,1.8,34.5,122.6,18.7,2.6,227.0,40.1,0.0,20.8
01/08/2024,9.1,38.9,1.8,35.2,135.9,19.9,2.6,243.4,40.1,0.0,20.7
01/09/2024,9.1,39.3,1.7,35.5,146.2,20.3,2.6,254.7,38.8,0.0,21.1
01/10/2024,9.4,42.1,1.5,37.0,139.8,21.5,2.6,253.9,40.1,0.0,22.8
01/11/2024,7.9,42.8,1.3,36.7,128.3,24.6,2.6,244.2,38.8,0.0,24.0
01/12/2024,7.4,45.5,1.2,37.8,137.4,24.9,2.6,256.8,40.1,0.0,24.8
01/01/2025,7.0,45.4,0.9,37.6,107.0,27.6,2.6,228.1,40.1,0.0,25.5
01/02/2025,6.5,40.3,0.7,33.5,117.6,28.8,2.6,230.0,36.2,0.0,23.2
01/03/2025,5.9,42.0,0.6,35.0,120.4,31.1,2.6,237.6,40.1,0.0,23.6
01/04/2025,5.6,39.1,0.7,33.0,108.2,29.0,2.6,218.2,38.2,0.0,22.1
01/05/2025,6.1,38.7,0.6,33.2,111.5,30.8,2.6,223.5,39.5,0.0,21.3
01/06/2025,4.5,35.5,0.5,30.9,104.9,28.6,2.6,207.5,38.2,0.0,20.2
01/07/2025,4.3,38.4,0.6,33.0,104.6,27.3,2.6,210.8,39.5,0.0,20.6
01/08/2025,5.3,39.9,0.5,33.5,117.3,27.8,2.6,226.9,39.5,0.0,20.5
