Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
Sep-24,13.5,13.5,1.4,39.4,202.6,29.1,3.4,302.9,38.76,0.0,0.0,0.0,0.0,0.0,20.49
Oct-24,10.8,11.2,1.1,29.7,214.1,20.7,3.4,291.0,61.18,4.26,3.7,0.0,0.0,0.0,22.66
Nov-24,10.3,11.2,1.0,30.4,205.9,23.0,3.4,285.2,59.2,4.12,3.58,0.0,0.0,0.0,24.32
Dec-24,10.5,11.9,1.1,31.2,164.1,24.1,3.4,246.3,61.18,4.26,3.7,0.0,0.0,0.0,25.6
Jan-25,10.2,12.3,1.0,31.5,140.0,23.3,3.4,221.7,61.18,4.26,3.7,0.0,0.0,0.0,26.47
Feb-25,9.8,12.0,1.0,30.0,172.3,24.8,3.4,253.3,55.26,3.85,3.34,0.0,0.0,0.0,23.48
Mar-25,9.7,12.4,1.0,29.2,168.0,21.9,3.4,245.6,61.18,4.26,3.7,0.0,0.0,0.0,23.69
Apr-25,9.6,12.4,1.0,27.8,119.3,20.9,3.4,194.4,44.56,0.0,0.0,0.71,0.0,0.0,21.21
May-25,9.5,12.6,1.0,27.8,133.9,21.5,3.4,209.7,46.05,0.0,0.0,0.71,0.0,0.0,19.94
Jun-25,9.5,12.8,0.9,27.6,160.4,19.3,3.4,233.9,44.56,0.0,0.0,0.71,0.0,0.0,18.82
Jul-25,9.3,13.3,0.9,27.5,129.9,19.4,3.4,203.7,46.05,0.0,0.0,0.71,0.0,0.0,19.53
Aug-25,9.3,13.9,0.9,28.3,125.6,21.3,3.4,202.7,46.05,0.0,0.0,0.71,0.0,0.0,19.51
Sep-25,9.2,14.0,1.0,28.1,166.2,21.4,3.4,243.3,44.56,0.0,0.0,0.71,0.0,0.0,20.02
Oct-25,8.7,16.3,1.0,29.2,199.8,22.2,3.4,280.6,46.05,0.0,0.0,0.71,-8.857,40.266,22.23
Nov-25,8.4,18.3,0.9,29.5,177.5,25.0,3.4,263.0,44.56,0.0,0.0,0.71,-8.571,38.967,23.95
Dec-25,8.0,20.9,0.9,30.5,159.0,25.9,3.4,248.6,46.05,0.0,0.0,0.71,-8.857,40.266,25.41
Jan-26,7.5,22.2,0.9,30.0,124.7,26.7,3.4,215.4,46.05,0.0,0.0,0.71,-8.857,40.266,26.18
Feb-26,6.8,21.6,0.9,27.9,135.3,26.3,3.4,222.2,41.59,0.0,0.0,0.71,-8.0,36.369,23.35
Mar-26,7.0,23.5,0.9,29.0,125.1,27.4,3.4,216.3,46.05,0.0,0.0,0.71,-8.857,40.266,23.89
Apr-26,7.2,22.9,0.7,28.0,102.7,26.1,3.4,191.0,44.56,0.0,0.0,2.76,0.0,0.0,21.3
May-26,7.1,23.1,0.8,28.0,110.4,26.8,3.4,199.6,46.05,0.0,0.0,2.76,0.0,0.0,19.91
Jun-26,6.5,21.8,0.8,26.6,104.9,27.1,3.4,191.1,44.56,0.0,0.0,2.76,0.0,0.0,18.89
Jul-26,6.7,23.5,0.7,27.9,98.8,26.4,3.4,187.4,46.05,0.0,0.0,2.76,0.0,0.0,19.4
Aug-26,6.6,23.9,0.7,27.9,111.1,26.6,3.4,200.2,46.05,0.0,0.0,2.76,0.0,0.0,19.36
