Month,Energy_Imbalance_Â£m,Positive_Reserve_Â£m,Negative_Reserve_Â£m,Frequency_Control_Â£m,Other_Â£m,Constraints_Â£m,Restoration_Â£m,Balancing Costs (Central) Â£m,Estimated Internal BSUoS & ESO Incentive Â£m,ALoMCP Â£m,CMP381 Deferred Costs Â£m,Winter Contingency Cost (Central) £m,Estimated BSUoS Volume (TWh)
Aug-22,10.2,77.1,2.0,45.1,16.0,202.2,4.4,357.0,32.58,1.02,4.09,0.0,32.9
Sep-22,10.7,110.1,2.1,52.6,16.9,196.0,4.4,392.8,31.53,0.99,3.96,0.0,33.8
Oct-22,10.3,121.4,2.0,48.1,15.7,252.6,4.4,454.5,32.58,1.02,4.09,54.51,40.3
Nov-22,10.3,193.9,2.0,65.6,16.0,358.8,4.4,651.0,31.53,0.99,3.96,52.75,43.5
Dec-22,10.0,189.4,2.0,58.7,15.5,353.8,4.4,633.8,32.58,1.02,4.09,54.51,43.1
Jan-23,9.9,153.4,1.9,44.9,15.9,308.4,4.4,538.8,32.58,1.02,4.09,54.51,43.7
Feb-23,10.0,130.2,1.9,35.8,15.5,306.1,4.4,503.9,29.43,0.92,3.69,49.23,38.9
Mar-23,10.0,108.3,1.9,28.9,15.8,271.3,4.4,440.6,32.58,1.02,4.09,54.51,38.7
Apr-23,9.8,86.5,1.8,23.0,15.9,189.5,4.4,330.9,28.56,0.0,0.0,0.0,22.3
May-23,9.7,85.9,1.8,21.0,15.9,189.0,4.4,327.7,29.51,0.0,0.0,0.0,22.2
Jun-23,9.6,84.8,1.8,19.3,15.8,189.1,4.4,324.8,28.56,0.0,0.0,0.0,19.9
Jul-23,9.2,85.3,1.8,19.5,15.4,176.5,4.4,312.1,29.51,0.0,0.0,0.0,20.6
Aug-23,9.1,84.4,1.8,20.7,15.3,189.3,4.4,325.0,29.51,0.0,0.0,0.0,20.1
Sep-23,9.7,79.9,1.6,27.8,15.8,237.7,4.4,376.9,28.56,0.0,0.0,0.0,21.0
Oct-23,9.8,76.8,1.4,33.7,15.0,280.7,4.4,421.8,29.51,0.0,0.0,0.0,22.8
Nov-23,9.6,72.4,1.3,47.1,17.4,259.0,4.4,411.2,28.56,0.0,0.0,0.0,25.5
Dec-23,8.9,69.0,1.1,55.1,17.4,298.7,4.4,454.6,29.51,0.0,0.0,0.0,26.8
Jan-24,9.2,64.4,0.9,63.1,17.3,208.4,4.4,367.7,29.51,0.0,0.0,0.0,27.4
Feb-24,8.8,53.9,0.6,54.9,14.7,245.8,4.4,383.1,27.61,0.0,0.0,0.0,23.1
Mar-24,9.5,58.9,0.7,67.8,17.3,261.5,4.4,420.1,29.51,0.0,0.0,0.0,24.5
Apr-24,8.1,56.8,0.7,67.6,17.0,244.6,4.4,399.2,28.44,0.0,0.0,0.0,22.3
May-24,8.0,58.1,0.7,67.7,16.1,246.4,4.4,401.4,29.39,0.0,0.0,0.0,22.3
Jun-24,7.4,55.9,0.7,69.2,15.8,226.2,4.4,379.6,28.44,0.0,0.0,0.0,19.9
Jul-24,5.7,57.6,0.7,72.4,15.3,220.6,4.4,376.7,29.39,0.0,0.0,0.0,20.7
