Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),Estimated BSUoS Volume (TWh)
01/08/2023,11.9,21.4,2.4,42.3,123.6,20.2,3.8,225.6,36.58,0.0,20.7
01/09/2023,11.3,20.8,2.2,37.8,109.4,19.2,3.8,204.5,35.4,0.0,21.0
01/10/2023,10.6,20.8,2.1,34.8,126.5,17.5,3.8,216.1,36.58,4.26,22.6
01/11/2023,10.5,32.0,2.1,38.9,129.0,19.4,3.8,235.7,35.4,4.12,24.6
01/12/2023,10.1,37.6,2.0,39.6,121.2,19.3,3.8,233.6,36.58,4.26,25.2
01/01/2024,9.7,36.2,1.9,37.0,119.8,17.9,3.8,226.3,36.58,4.26,26.0
01/02/2024,9.5,36.3,1.9,36.0,141.6,20.9,3.8,250.0,34.22,3.85,24.4
01/03/2024,9.6,37.2,1.8,35.7,134.6,18.9,3.8,241.6,36.58,4.26,24.1
01/04/2024,9.5,36.4,1.8,34.8,136.2,18.8,3.8,241.3,38.76,0.0,22.6
01/05/2024,9.5,37.6,1.8,35.0,120.0,18.6,3.8,226.3,40.05,0.0,21.7
01/06/2024,9.2,36.7,1.8,34.4,122.6,17.8,3.8,226.3,38.76,0.0,20.7
01/07/2024,9.0,36.4,1.8,34.3,120.9,18.2,3.8,224.4,40.05,0.0,21.1
01/08/2024,9.0,37.5,1.7,35.0,133.8,18.7,3.8,239.5,40.05,0.0,21.0
01/09/2024,8.3,38.0,1.5,34.8,122.1,21.3,3.8,229.8,38.76,0.0,21.3
01/10/2024,9.1,41.2,1.3,36.2,141.5,22.6,3.8,255.7,40.05,0.0,23.0
01/11/2024,7.3,42.7,1.2,36.5,125.9,24.9,3.8,242.3,38.76,0.0,24.1
01/12/2024,6.8,46.9,1.0,38.4,140.6,25.4,3.8,262.9,40.05,0.0,24.9
01/01/2025,6.7,46.6,0.8,37.9,102.4,28.5,3.8,226.7,40.05,0.0,25.6
01/02/2025,6.1,41.1,0.5,33.4,112.4,29.6,3.8,226.9,36.18,0.0,23.5
01/03/2025,5.9,42.0,0.6,35.1,118.8,30.8,3.8,237.0,40.05,0.0,23.8
01/04/2025,5.5,38.9,0.6,33.0,106.7,28.8,3.8,217.3,38.19,0.0,22.4
01/05/2025,6.2,38.8,0.6,33.3,110.6,30.3,3.8,223.6,39.47,0.0,21.5
01/06/2025,4.5,35.2,0.5,30.9,105.0,28.5,3.8,208.4,38.19,0.0,20.6
01/07/2025,4.2,37.3,0.5,32.3,103.8,26.8,3.8,208.7,39.47,0.0,21.0
