Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
Aug-24,12.0,12.0,1.2,31.2,116.2,21.6,3,197.2,40.05,0.0,0.0,0.0,0.0,0.0,20.08
Sep-24,10.6,10.9,1.1,29.0,146.0,20.3,3,220.9,38.76,0.0,0.0,0.0,0.0,0.0,20.49
Oct-24,10.0,10.7,1.0,27.5,194.0,18.8,3,265.0,61.18,4.26,3.7,0.0,0.0,0.0,22.51
Nov-24,10.0,11.3,1.0,29.5,191.0,22.6,3,268.4,59.2,4.12,3.58,0.0,0.0,0.0,24.13
Dec-24,10.0,11.8,1.0,29.9,148.6,23.5,3,227.8,61.18,4.26,3.7,0.0,0.0,0.0,25.56
Jan-25,9.7,12.2,1.0,29.7,127.0,22.5,3,205.1,61.18,4.26,3.7,0.0,0.0,0.0,26.38
Feb-25,9.7,12.4,1.0,29.8,167.9,25.2,3,249.0,55.26,3.85,3.34,0.0,0.0,0.0,23.42
Mar-25,9.7,12.7,1.0,28.9,159.9,21.6,3,236.8,61.18,4.26,3.7,0.0,0.0,0.0,23.36
Apr-25,9.6,12.6,1.0,27.6,113.0,20.9,3,187.7,44.56,0.0,0.0,0.71,0.0,0.0,21.31
May-25,9.4,13.1,1.0,27.6,129.1,21.4,3,204.6,46.05,0.0,0.0,0.71,0.0,0.0,20.07
Jun-25,9.5,13.2,0.9,27.4,153.7,19.5,3,227.2,44.56,0.0,0.0,0.71,0.0,0.0,18.94
Jul-25,9.4,13.7,0.9,27.4,121.2,20.2,3,195.8,46.05,0.0,0.0,0.71,0.0,0.0,19.66
Aug-25,9.2,14.1,0.9,27.9,108.5,21.6,3,185.2,46.05,0.0,0.0,0.71,0.0,0.0,19.61
Sep-25,8.7,16.1,0.9,28.1,139.2,22.5,3,218.5,44.56,0.0,0.0,0.71,0.0,0.0,20.09
Oct-25,8.0,19.0,0.9,28.9,179.7,24.2,3,263.7,46.05,0.0,0.0,0.71,-8.857,40.266,22.32
Nov-25,7.6,21.6,0.9,29.4,151.4,26.0,3,239.9,44.56,0.0,0.0,0.71,-8.571,38.967,24.13
Dec-25,7.0,24.9,0.8,30.4,139.0,27.6,3,232.7,46.05,0.0,0.0,0.71,-8.857,40.266,25.6
Jan-26,6.4,26.5,0.9,30.1,98.1,29.6,3,194.6,46.05,0.0,0.0,0.71,-8.857,40.266,26.35
Feb-26,5.3,24.8,0.8,26.6,104.2,27.3,3,192.0,41.59,0.0,0.0,0.71,-8.0,36.369,23.48
Mar-26,6.1,26.8,0.8,28.9,103.2,30.0,3,198.8,46.05,0.0,0.0,0.71,-8.857,40.266,24.05
Apr-26,6.4,25.2,0.6,27.4,85.8,27.8,3,176.2,44.56,0.0,0.0,2.76,0.0,0.0,21.4
May-26,6.3,25.2,0.7,27.3,92.8,29.0,3,184.3,46.05,0.0,0.0,2.76,0.0,0.0,20.02
Jun-26,5.7,24.0,0.8,26.3,82.5,29.9,3,172.2,44.56,0.0,0.0,2.76,0.0,0.0,19.02
Jul-26,6.0,25.9,0.6,27.5,77.7,29.5,3,170.2,46.05,0.0,0.0,2.76,0.0,0.0,19.4
