Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/08/2025,8.7,8.7,0.9,25.1,136.3,16.5,3.4,199.6,46.1,0,0,0.0,0,0,19.6
01/09/2025,9.4,9.8,0.9,26.9,160.0,17.6,3.4,228.0,44.6,0,0,0.0,0,0,20.3
01/10/2025,9.4,10.2,1.0,26.7,197.3,16.4,3.4,264.4,97.0,0,0,0.0,0,0,22.8
01/11/2025,9.4,10.7,1.0,28.6,187.9,20.0,3.4,261.0,93.9,0,0,0.0,0,0,23.6
01/12/2025,9.4,11.3,1.0,29.2,173.2,20.7,3.4,248.2,97.0,0,0,0.0,0,0,25.2
01/01/2026,9.4,11.8,1.0,29.5,153.7,20.0,3.4,228.8,97.0,0,0,0.0,0,0,25.8
01/02/2026,9.4,12.0,1.0,29.4,197.2,22.7,3.4,275.1,87.7,0,0,0.0,0,0,23.1
01/03/2026,9.1,12.4,1.0,28.6,186.1,19.1,3.4,259.7,97.0,0,0,0.0,0,0,23.6
01/04/2026,9.2,12.2,1.0,27.9,140.3,18.5,3.4,212.5,69.2,0,0,1.2,0,0,21.1
01/05/2026,9.1,12.6,1.0,27.8,151.2,18.7,3.4,223.8,71.5,0,0,1.2,0,0,19.7
01/06/2026,8.7,12.7,1.0,27.5,165.8,17.2,3.4,236.3,69.2,0,0,1.2,0,0,18.7
01/07/2026,8.9,13.3,0.9,27.8,131.1,17.8,3.4,203.2,71.5,0,0,1.2,0,0,19.4
01/08/2026,8.7,13.6,1.0,28.0,143.2,19.0,3.4,216.9,71.5,0,0,1.2,0,0,19.4
01/09/2026,7.8,14.9,1.0,28.2,165.5,18.3,3.4,239.1,69.2,0,0,1.2,0,0,19.9
01/10/2026,7.1,16.9,1.1,29.0,169.2,17.5,3.4,244.2,71.5,0,0,1.2,0,0,22.2
01/11/2026,6.8,18.6,0.9,29.2,147.8,19.7,3.4,226.4,69.2,0,0,1.2,0,0,23.6
01/12/2026,6.5,21.2,1.0,30.2,141.0,20.2,3.4,223.5,71.5,0,0,1.2,0,0,25.2
01/01/2027,5.4,22.4,1.0,30.3,107.6,19.8,3.4,189.9,71.5,0,0,1.2,0,0,25.8
01/02/2027,4.4,20.8,1.0,27.9,104.3,18.1,3.4,179.9,64.6,0,0,1.2,0,0,23.0
01/03/2027,4.4,22.6,1.1,29.3,105.5,18.2,3.4,184.5,71.5,0,0,1.2,0,0,23.5
01/04/2027,4.0,21.8,0.9,28.3,99.2,19.1,3.4,176.7,69.0,0,0,2.8,0,0,21.2
01/05/2027,4.2,22.1,1.0,28.5,99.8,18.8,3.4,177.8,71.3,0,0,2.8,0,0,19.6
01/06/2027,4.0,20.9,1.0,27.1,93.4,18.5,3.4,168.3,69.0,0,0,2.8,0,0,18.6
01/07/2027,4.0,22.7,0.8,28.4,92.3,21.2,3.4,172.8,71.3,0,0,2.8,0,0,18.9
