Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Jan-20,8.833733035,8.49204686,4.129534176,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.351784142,13.89218366,1.20648735,4.86862663,1.532666954,5.312605405,150.2510449,45.07890281,25.72091233,-3.274793005,2.4
Feb-20,10.67661454,7.443089983,3.329784127,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.49467858,12.6241648,1.82113008,3.807055122,1.214817723,3.372421496,152.6364659,40.21178875,23.23179178,-2.981781933,0.0
Mar-20,4.385463152,5.261404624,6.047600471,38.28784657,22.0283238,16.91508142,0.294424267,0.369109377,8.870002077,11.20384666,1.35924928,4.52549351,2.492636854,9.839100386,131.8795825,39.95575478,25.72091233,-3.274793005,0.0
Apr-20,12.47490709,4.945659625,2.3629482,59.37209822,1.4916887,5.06824327,0.582595049,0.584283647,7.39378997,13.25732449,1.89991576,6.33861467,6.574388182,3.53645192,125.8829088,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,3.92269089,67.52262823,17.43287986,3.107817461,18.98023807,0.622402452,7.786018137,8.694498918,2.63415965,5.83960342,5.39169939,3.81930967,162.8676768,29.13981067,18.9210411,0.0,0.0
Jun-20,7.63347279,3.752765952,3.41306666,74.63017731,0.525368486,5.68175167,13.72338873,0.216292208,8.752224675,7.003456183,1.83438343,4.82407476,4.04370676,3.62355609,139.6576857,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.127988556,3.13976984,69.37954723,0.507914966,7.909918062,21.76071445,0.172425853,7.063122879,8.130359932,2.45797819,4.648980795,1.812890652,3.427589461,139.2836139,33.09527572,18.9210411,0.0,0.0
Aug-20,6.805479684,4.832442835,2.729741,41.86042167,0.602101152,13.11254771,22.37150674,0.502974483,8.454086369,7.212986196,1.89593922,4.504134045,2.634849249,3.328288,120.8474984,33.4138163,18.9210411,0.0,0.0
Sep-20,8.458612889,8.729130508,2.662587083,43.05356387,10.75124065,19.00221667,17.92286523,0.546948464,9.683689722,8.214989114,1.9374665,4.11367249,1.854530039,8.863820909,145.7953341,34.52607672,18.31068493,0.0,0.0
Oct-20,10.88096507,11.07172318,3.10543643,59.51275747,7.950651424,17.2957812,0.93535839,0.516081836,8.955294113,12.68569143,1.5717264,4.46779022,3.446658809,7.575866364,149.9717823,39.56064793,18.9210411,0.0,0.0
Nov-20,7.678167698,13.76143275,3.796248365,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.45910285,14.47650346,1.65586258,5.33220137,1.172321315,7.801708769,205.2284534,39.91218329,18.31068493,0.0,0.0
Dec-20,12.32238814,17.96283464,4.107383028,60.63852569,17.29026631,13.18174357,1.14091094,0.275127782,10.78365906,15.15572985,1.40380762,5.82533506,0.91678213,3.689523227,164.694017,44.55669877,18.9210411,0.0,0.0
Jan-21,9.513231801,28.04624543,5.11135182,61.11123533,6.157536467,1.395508387,0.094081888,0.317351278,9.457767497,11.73550445,0.956048274,6.637298358,1.915052417,3.787010865,146.2352243,45.36573118,18.9210411,1.462264151,4.8
Feb-21,11.752324,9.365341203,2.832233583,75.24727965,7.550256586,1.831974345,0.0,0.119231031,8.712608818,11.36485609,0.890712455,5.703072033,2.251210838,3.791780822,141.4128814,37.99928286,17.0899726,1.320754717,4.8
Mar-21,9.030929904,9.249590421,3.318178159,69.42483783,6.323774924,1.534384429,0.0,0.223143885,9.713440979,12.36410887,1.043739528,6.093592728,0.284658128,3.795890411,132.4002702,40.57955219,18.9210411,1.462264151,4.8
Apr-21,5.502554146,8.292958957,5.167662387,58.79334315,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.8,123.3239007,38.70885411,18.40356164,0.98630137,4.8
May-21,7.897593618,8.955818674,5.575822434,58.46571772,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.804109589,130.0587709,39.53681138,19.0170137,1.019178082,4.8
Jun-21,8.178124146,5.833712861,5.434767887,55.25924715,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.808219178,125.0727341,36.63945883,18.40356164,0.98630137,4.8
Jul-21,9.303613618,6.970418038,5.962998065,56.56428172,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.812328767,131.270705,37.14649514,19.0170137,1.019178082,4.8
Aug-21,8.677763618,8.247641882,5.817931184,64.21152572,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.816438356,140.5581541,37.4214319,19.0170137,1.019178082,4.8
Sep-21,10.07023415,14.12836031,6.307976992,67.82243315,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.820547945,147.5119067,39.10350134,18.40356164,0.98630137,4.8
Oct-21,11.32623362,16.37231884,6.226388327,71.03922572,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.824657534,155.5362705,42.40102667,19.0170137,1.019178082,4.8
Nov-21,10.86287415,16.14733682,7.428685335,67.12977415,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.828767123,149.4544029,47.87914268,18.40356164,0.98630137,4.8
Dec-21,11.11579362,11.85168112,7.470250666,64.15034872,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.832876712,142.1628821,49.71202785,19.0170137,1.019178082,4.8
Jan-22,11.90372362,10.09988493,7.574538827,59.33577372,8.914696,2.163038,0.0,0.643814364,10.29715057,11.10108615,0.851570155,7.006655566,-0.550027602,3.836986301,133.1788906,49.03852546,19.0170137,1.019178082,4.8
Feb-22,12.78045642,12.94033321,6.5184684,63.54344494,7.550256586,1.831974345,0.0,0.119231031,8.712608818,10.4639596,0.890712455,5.703072033,2.251210838,3.84109589,137.1468246,46.60325809,17.17665753,0.920547945,4.8
Mar-22,-1.204919153,13.20761728,7.399366707,64.36702083,6.323774924,1.534384429,0.0,0.223143885,9.713440979,11.36668776,1.043739528,6.093592728,0.284658128,3.845205479,124.1977135,50.69295501,19.0170137,1.019178082,4.8
Apr-22,5.502554146,8.292958957,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.849315068,93.78417462,38.70885411,18.40356164,0.98630137,4.8
May-22,7.897593618,8.955818674,5.575822434,27.89037525,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.853424658,99.53274348,39.53681138,19.0170137,1.019178082,4.8
Jun-22,8.178124146,5.833712861,5.434767887,25.67020605,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.857534247,95.53300807,36.63945883,18.40356164,0.98630137,4.8
Jul-22,9.303613618,6.970418038,5.962998065,25.98893925,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.861643836,100.7446776,37.14649514,19.0170137,1.019178082,0.0
Aug-22,8.677763618,8.247641882,5.817931184,33.63618325,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.865753425,110.0321267,37.4214319,19.0170137,1.019178082,0.0
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.869863014,117.9721807,39.10350134,18.40356164,0.98630137,0.0
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.873972603,125.0102431,42.40102667,19.0170137,1.019178082,0.0
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.878082192,119.9146769,47.87914268,18.40356164,0.98630137,0.0
Dec-22,11.11579362,11.85168112,7.470250666,33.57500625,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.882191781,111.6368547,49.71202785,19.0170137,1.019178082,0.0
