DATETIME,FPN,BOA,Difference
2021-04-13T00:30:00,289.64,294.996,5.356
2022-01-02T19:00:00,78.0,90.62,12.62
2022-01-21T21:00:00,255.52,255.426,-0.094
2022-04-21T19:00:00,194.96,196.13,1.17
2022-06-24T04:30:00,254.38,253.362,-1.018
2022-10-11T03:30:00,225.32,224.73,-0.59
2022-11-22T04:30:00,199.68,200.39,0.71
2023-02-05T23:30:00,203.76,201.132,-2.628
2023-03-29T19:30:00,108.46,132.618,24.158
2023-05-01T03:00:00,175.4,171.24599999999995,-4.154
2023-05-26T17:30:00,227.66,226.126,-1.534
2023-06-18T04:30:00,211.9,206.132,-5.768
2023-06-20T14:30:00,242.0,243.2,1.2
2023-06-28T01:30:00,214.76,212.618,-2.142
2023-07-23T01:30:00,42.6,80.992,38.392
2023-08-03T14:30:00,160.1,160.118,0.018
2023-09-26T14:00:00,131.28,142.894,11.614
2023-10-01T01:30:00,62.32,75.2,12.88
2021-05-07T08:00:00,273.16,273.718,0.5579999999999999
2022-02-05T09:30:00,75.5,101.764,26.264
2022-06-24T03:00:00,254.76,253.93400000000003,-0.826
2023-03-17T00:30:00,90.28,91.918,1.638
2023-05-05T02:30:00,92.38,114.012,21.632
2023-06-09T09:30:00,147.08,149.904,2.824
2023-06-26T16:30:00,193.7,179.84400000000005,-13.856
2023-06-28T22:30:00,224.84,224.952,0.112
2023-06-30T11:30:00,168.6,160.858,-7.742000000000001
2023-07-09T15:30:00,227.14,224.192,-2.948
2023-07-28T05:00:00,288.52,288.418,-0.102
2023-07-30T02:30:00,55.24,55.226000000000006,-0.014
2023-10-17T08:00:00,243.46,235.24600000000004,-8.213999999999977
2021-05-03T09:00:00,174.96,171.358,-3.602
2021-07-09T02:00:00,282.94,282.0440000000001,-0.8959999999999999
2021-07-16T16:30:00,202.02,201.396,-0.624
2023-05-17T11:00:00,279.66,278.42400000000004,-1.236
2023-07-03T12:00:00,22.78,45.872,23.092
2023-07-21T21:30:00,268.44,273.05400000000003,4.614
2023-08-21T14:30:00,168.28,175.28400000000005,7.004
2023-08-23T05:00:00,307.14,298.878,-8.262
2023-08-23T17:00:00,296.08,293.318,-2.762
2023-08-23T18:30:00,295.14,286.55,-8.59
2023-08-28T17:30:00,254.4,253.75,-0.65
2023-09-18T09:30:00,89.68,96.114,6.434
2023-10-22T18:30:00,306.6199999999999,306.22599999999994,-0.3939999999999961
2023-10-28T16:00:00,115.45999999999998,139.34599999999998,23.88600000000001
2023-11-11T15:30:00,308.0800000000001,304.20200000000006,-3.878000000000003
2023-11-30T09:30:00,294.4000000000001,294.85000000000014,0.45
2024-01-18T17:00:00,275.41999999999985,277.5919999999999,2.1720000000000086
2024-01-23T02:00:00,74.16000000000003,86.77400000000004,12.614000000000004
2024-02-04T23:00:00,51.61999999999998,73.57199999999997,21.952
2024-03-21T20:30:00,51.7,79.82400000000003,28.124
2021-07-09T16:30:00,288.38,287.164,-1.216
2022-12-10T12:30:00,285.68,284.878,-0.802
2022-12-19T18:00:00,102.6,115.018,12.418
2023-02-19T04:30:00,72.42,103.958,31.538
2023-04-06T12:00:00,172.14,170.482,-1.658
2023-04-15T12:30:00,224.78,224.628,-0.152
2023-07-26T21:30:00,210.22,210.24400000000003,0.024
2023-07-31T03:30:00,55.28,55.262,-0.018
2023-09-05T18:30:00,278.5,278.358,-0.142
2023-09-18T18:30:00,60.08,69.11,9.03
2023-09-19T04:00:00,31.48,52.68600000000001,21.206
2021-03-31T17:30:00,253.54,254.376,0.836
2021-04-30T13:00:00,259.82,259.12,-0.7
2021-07-09T17:00:00,291.58,290.1020000000001,-1.4780000000000002
