DATE_GMT,TIME_GMT,SETTLEMENT_DATE,SETTLEMENT_PERIOD,EMBEDDED_WIND_FORECAST,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_FORECAST,EMBEDDED_SOLAR_CAPACITY
2025-10-29T00:00:00,23:30,2025-10-29T00:00:00,47,1834,6606,0,20993
2025-10-30T00:00:00,00:00,2025-10-29T00:00:00,48,1808,6606,0,20993
2025-10-30T00:00:00,00:30,2025-10-30T00:00:00,1,1808,6606,0,21000
2025-10-30T00:00:00,01:00,2025-10-30T00:00:00,2,1805,6606,0,21000
2025-10-30T00:00:00,01:30,2025-10-30T00:00:00,3,1805,6606,0,21000
2025-10-30T00:00:00,02:00,2025-10-30T00:00:00,4,1746,6606,0,21000
2025-10-30T00:00:00,02:30,2025-10-30T00:00:00,5,1746,6606,0,21000
2025-10-30T00:00:00,03:00,2025-10-30T00:00:00,6,1597,6606,0,21000
2025-10-30T00:00:00,03:30,2025-10-30T00:00:00,7,1597,6606,0,21000
2025-10-30T00:00:00,04:00,2025-10-30T00:00:00,8,1388,6606,0,21000
2025-10-30T00:00:00,04:30,2025-10-30T00:00:00,9,1388,6606,0,21000
2025-10-30T00:00:00,05:00,2025-10-30T00:00:00,10,1212,6606,0,21000
2025-10-30T00:00:00,05:30,2025-10-30T00:00:00,11,1212,6606,16,21000
2025-10-30T00:00:00,06:00,2025-10-30T00:00:00,12,1084,6606,0,21000
2025-10-30T00:00:00,06:30,2025-10-30T00:00:00,13,1084,6606,0,21000
2025-10-30T00:00:00,07:00,2025-10-30T00:00:00,14,981,6606,0,21000
2025-10-30T00:00:00,07:30,2025-10-30T00:00:00,15,981,6606,382,21000
2025-10-30T00:00:00,08:00,2025-10-30T00:00:00,16,940,6606,1070,21000
2025-10-30T00:00:00,08:30,2025-10-30T00:00:00,17,940,6606,2004,21000
2025-10-30T00:00:00,09:00,2025-10-30T00:00:00,18,915,6606,2947,21000
2025-10-30T00:00:00,09:30,2025-10-30T00:00:00,19,915,6606,3680,21000
2025-10-30T00:00:00,10:00,2025-10-30T00:00:00,20,937,6606,4219,21000
2025-10-30T00:00:00,10:30,2025-10-30T00:00:00,21,937,6606,4622,21000
2025-10-30T00:00:00,11:00,2025-10-30T00:00:00,22,1050,6606,4865,21000
2025-10-30T00:00:00,11:30,2025-10-30T00:00:00,23,1050,6606,4904,21000
2025-10-30T00:00:00,12:00,2025-10-30T00:00:00,24,1325,6606,4704,21000
2025-10-30T00:00:00,12:30,2025-10-30T00:00:00,25,1325,6606,4257,21000
2025-10-30T00:00:00,13:00,2025-10-30T00:00:00,26,1717,6606,3650,21000
2025-10-30T00:00:00,13:30,2025-10-30T00:00:00,27,1717,6606,2984,21000
2025-10-30T00:00:00,14:00,2025-10-30T00:00:00,28,2176,6606,2317,21000
2025-10-30T00:00:00,14:30,2025-10-30T00:00:00,29,2176,6606,1688,21000
2025-10-30T00:00:00,15:00,2025-10-30T00:00:00,30,2709,6606,1113,21000
2025-10-30T00:00:00,15:30,2025-10-30T00:00:00,31,2709,6606,613,21000
2025-10-30T00:00:00,16:00,2025-10-30T00:00:00,32,3338,6606,247,21000
2025-10-30T00:00:00,16:30,2025-10-30T00:00:00,33,3338,6606,63,21000
2025-10-30T00:00:00,17:00,2025-10-30T00:00:00,34,3984,6606,0,21000
2025-10-30T00:00:00,17:30,2025-10-30T00:00:00,35,3984,6606,0,21000
2025-10-30T00:00:00,18:00,2025-10-30T00:00:00,36,4520,6606,0,21000
2025-10-30T00:00:00,18:30,2025-10-30T00:00:00,37,4520,6606,0,21000
2025-10-30T00:00:00,19:00,2025-10-30T00:00:00,38,4921,6606,0,21000
