DATE_GMT,TIME_GMT,SETTLEMENT_DATE,SETTLEMENT_PERIOD,EMBEDDED_WIND_FORECAST,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_FORECAST,EMBEDDED_SOLAR_CAPACITY,Forecast_Datetime
2024-03-26T00:00:00,19:30:00,2024-03-26T00:00:00,39,1660,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,20:00:00,2024-03-26T00:00:00,40,1649,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,20:30:00,2024-03-26T00:00:00,41,1639,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,21:00:00,2024-03-26T00:00:00,42,1628,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,21:30:00,2024-03-26T00:00:00,43,1618,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,22:00:00,2024-03-26T00:00:00,44,1607,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,22:30:00,2024-03-26T00:00:00,45,1597,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,23:00:00,2024-03-26T00:00:00,46,1587,6562,0,15921,2024-03-16T18:12:00
2024-03-26T00:00:00,23:30:00,2024-03-26T00:00:00,47,1578,6562,0,15921,2024-03-16T18:12:00
2024-03-27T00:00:00,00:00:00,2024-03-26T00:00:00,48,1568,6562,0,15921,2024-03-16T18:12:00
2024-03-27T00:00:00,00:30:00,2024-03-27T00:00:00,1,1561,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,01:00:00,2024-03-27T00:00:00,2,1554,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,01:30:00,2024-03-27T00:00:00,3,1547,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,02:00:00,2024-03-27T00:00:00,4,1540,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,02:30:00,2024-03-27T00:00:00,5,1533,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,03:00:00,2024-03-27T00:00:00,6,1526,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,03:30:00,2024-03-27T00:00:00,7,1519,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,04:00:00,2024-03-27T00:00:00,8,1512,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,04:30:00,2024-03-27T00:00:00,9,1506,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,05:00:00,2024-03-27T00:00:00,10,1499,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,05:30:00,2024-03-27T00:00:00,11,1492,6562,0,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,06:00:00,2024-03-27T00:00:00,12,1485,6562,16,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,06:30:00,2024-03-27T00:00:00,13,1533,6562,347,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,07:00:00,2024-03-27T00:00:00,14,1580,6562,893,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,07:30:00,2024-03-27T00:00:00,15,1631,6562,1567,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,08:00:00,2024-03-27T00:00:00,16,1682,6562,2318,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,08:30:00,2024-03-27T00:00:00,17,1738,6562,3095,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,09:00:00,2024-03-27T00:00:00,18,1793,6562,3798,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,09:30:00,2024-03-27T00:00:00,19,1853,6562,4341,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,10:00:00,2024-03-27T00:00:00,20,1912,6562,4768,15923,2024-03-16T18:12:00
2024-03-27T00:00:00,10:30:00,2024-03-27T00:00:00,21,1975,6562,5136,15923,2024-03-16T18:12:00
