dataset,column_name,2022,2023,2024,2025
BOALF,acceptanceNumber,int64,int64,int64,int64
BOALF,acceptanceTime,object,object,object,object
BOALF,amendmentFlag,object,object,object,object
BOALF,bmUnit,object,object,object,object
BOALF,dataset,object,object,object,object
BOALF,deemedBoFlag,bool,bool,bool,bool
BOALF,levelFrom,int64,int64,int64,int64
BOALF,levelTo,int64,int64,int64,int64
BOALF,nationalGridBmUnit,object,object,object,object
BOALF,rrFlag,bool,bool,bool,bool
BOALF,settlementDate,object,object,object,object
BOALF,settlementPeriodFrom,int64,int64,int64,int64
BOALF,settlementPeriodTo,int64,int64,int64,int64
BOALF,soFlag,bool,bool,bool,bool
BOALF,storFlag,bool,bool,bool,bool
BOALF,timeFrom,object,object,object,object
BOALF,timeTo,object,object,object,object
BOD,bid,float64,float64,float64,float64
BOD,bmUnit,object,object,object,object
BOD,dataset,object,object,object,object
BOD,levelFrom,int64,int64,int64,int64
BOD,levelTo,int64,int64,int64,int64
BOD,nationalGridBmUnit,object,object,object,object
BOD,offer,float64,float64,float64,float64
BOD,pairId,int64,int64,int64,int64
BOD,settlementDate,object,object,object,object
BOD,settlementPeriod,int64,int64,int64,int64
BOD,timeFrom,object,object,object,object
BOD,timeTo,object,object,object,object
COSTS,_dataset,object,object,object,object
COSTS,_ingested_utc,object,object,object,object
COSTS,_window_from_utc,object,object,object,object
COSTS,_window_to_utc,object,object,object,object
COSTS,bsadDefaulted,bool,bool,bool,bool
COSTS,buyPriceAdjustment,float64,float64,float64,float64
COSTS,createdDateTime,object,object,object,object
COSTS,netImbalanceVolume,float64,float64,float64,float64
COSTS,priceDerivationCode,object,object,object,object
COSTS,replacementPrice,float64,float64,float64,float64
COSTS,replacementPriceReferenceVolume,float64,float64,float64,float64
COSTS,reserveScarcityPrice,float64,float64,float64,float64
COSTS,sellPriceAdjustment,float64,float64,float64,float64
COSTS,settlementDate,object,object,object,object
COSTS,settlementPeriod,int64,int64,int64,int64
COSTS,startTime,object,object,object,object
COSTS,systemBuyPrice,float64,float64,float64,float64
COSTS,systemSellPrice,float64,float64,float64,float64
COSTS,totalAcceptedBidVolume,float64,float64,float64,float64
COSTS,totalAcceptedOfferVolume,float64,float64,float64,float64
COSTS,totalAdjustmentBuyVolume,float64,float64,float64,float64
COSTS,totalAdjustmentSellVolume,float64,float64,float64,float64
COSTS,totalSystemTaggedAcceptedBidVolume,float64,float64,float64,float64
COSTS,totalSystemTaggedAcceptedOfferVolume,float64,float64,float64,float64
COSTS,totalSystemTaggedAdjustmentBuyVolume,float64,float64,float64,float64
COSTS,totalSystemTaggedAdjustmentSellVolume,float64,float64,float64,float64
DISBSAD,assetId,object,object,object,object
DISBSAD,cost,float64,float64,float64,float64
DISBSAD,dataset,object,object,object,object
DISBSAD,id,int64,int64,int64,int64
DISBSAD,isTendered,object,bool,bool,bool
DISBSAD,partyId,object,object,object,object
DISBSAD,service,object,object,object,object
DISBSAD,settlementDate,object,object,object,object
DISBSAD,settlementPeriod,int64,int64,int64,int64
DISBSAD,soFlag,bool,bool,bool,bool
DISBSAD,storFlag,bool,bool,bool,bool
DISBSAD,volume,float64,float64,float64,float64
FOU2T14D,biddingZone,object,object,object,object
FOU2T14D,dataset,object,object,object,object
FOU2T14D,forecastDate,object,object,object,object
FOU2T14D,forecastDateTimezone,object,object,object,object
FOU2T14D,fuelType,object,object,object,object
FOU2T14D,interconnector,bool,bool,bool,bool
FOU2T14D,interconnectorName,object,object,object,object
FOU2T14D,outputUsable,int64,int64,int64,int64
FOU2T14D,publishTime,object,object,object,object
FOU2T14D,systemZone,object,object,object,object
FOU2T3YW,biddingZone,object,object,object,object
FOU2T3YW,calendarWeekNumber,int64,int64,int64,int64
FOU2T3YW,dataset,object,object,object,object
FOU2T3YW,fuelType,object,object,object,object
FOU2T3YW,interconnector,bool,bool,bool,bool
FOU2T3YW,interconnectorName,object,object,object,object
FOU2T3YW,outputUsable,int64,int64,int64,int64
FOU2T3YW,publishTime,object,object,object,object
FOU2T3YW,systemZone,object,object,object,object
FOU2T3YW,year,int64,int64,int64,int64
FREQ,dataset,object,object,object,object
FREQ,frequency,float64,float64,float64,float64
FREQ,measurementTime,object,object,object,object
FUELHH,dataset,object,object,object,object
FUELHH,fuelType,object,object,object,object
FUELHH,generation,int64,int64,int64,int64
FUELHH,publishTime,object,object,object,object
FUELHH,settlementDate,object,object,object,object
FUELHH,settlementPeriod,int64,int64,int64,int64
FUELHH,startTime,object,object,object,object
FUELINST,dataset,object,object,object,object
FUELINST,fuelType,object,object,object,object
FUELINST,generation,int64,int64,int64,int64
FUELINST,publishTime,object,object,object,object
FUELINST,settlementDate,object,object,object,object
FUELINST,settlementPeriod,int64,int64,int64,int64
FUELINST,startTime,object,object,object,object
IMBALNGC,boundary,object,object,object,object
IMBALNGC,dataset,object,object,object,object
IMBALNGC,imbalance,int64,int64,int64,int64
IMBALNGC,publishTime,object,object,object,object
IMBALNGC,settlementDate,object,object,object,object
IMBALNGC,settlementPeriod,int64,int64,int64,int64
IMBALNGC,startTime,object,object,object,object
INDDEM,boundary,object,object,object,object
INDDEM,dataset,object,object,object,object
INDDEM,demand,int64,int64,int64,int64
INDDEM,publishTime,object,object,object,object
INDDEM,settlementDate,object,object,object,object
INDDEM,settlementPeriod,int64,int64,int64,int64
INDDEM,startTime,object,object,object,object
INDGEN,boundary,object,object,object,object
INDGEN,dataset,object,object,object,object
INDGEN,generation,int64,int64,int64,int64
INDGEN,publishTime,object,object,object,object
INDGEN,settlementDate,object,object,object,object
INDGEN,settlementPeriod,int64,int64,int64,int64
INDGEN,startTime,object,object,object,object
INDO,dataset,object,object,object,object
INDO,demand,int64,int64,int64,int64
INDO,publishTime,object,object,object,object
INDO,settlementDate,object,object,object,object
INDO,settlementPeriod,int64,int64,int64,int64
INDO,startTime,object,object,object,object
ITSDO,dataset,object,object,object,object
ITSDO,demand,int64,int64,int64,int64
ITSDO,publishTime,object,object,object,object
ITSDO,settlementDate,object,object,object,object
ITSDO,settlementPeriod,int64,int64,int64,int64
ITSDO,startTime,object,object,object,object
MELNGC,boundary,object,object,object,object
MELNGC,dataset,object,object,object,object
MELNGC,margin,int64,int64,int64,int64
MELNGC,publishTime,object,object,object,object
MELNGC,settlementDate,object,object,object,object
MELNGC,settlementPeriod,int64,int64,int64,int64
MELNGC,startTime,object,object,object,object
MELS,bmUnit,object,object,object,object
MELS,dataset,object,object,object,object
MELS,levelFrom,int64,int64,int64,int64
MELS,levelTo,int64,int64,int64,int64
MELS,nationalGridBmUnit,object,object,object,object
MELS,notificationSequence,int64,int64,int64,int64
MELS,notificationTime,object,object,object,object
MELS,settlementDate,object,object,object,object
MELS,settlementPeriod,int64,int64,int64,int64
MELS,timeFrom,object,object,object,object
MELS,timeTo,object,object,object,object
MID,dataProvider,object,object,object,object
MID,dataset,object,object,object,object
MID,price,float64,float64,float64,float64
MID,settlementDate,object,object,object,object
MID,settlementPeriod,int64,int64,int64,int64
MID,startTime,object,object,object,object
MID,volume,float64,float64,float64,float64
MILS,bmUnit,object,object,object,object
MILS,dataset,object,object,object,object
MILS,levelFrom,int64,int64,int64,int64
MILS,levelTo,int64,int64,int64,int64
MILS,nationalGridBmUnit,object,object,object,object
MILS,notificationSequence,int64,int64,int64,int64
MILS,notificationTime,object,object,object,object
