Region,DNO_ID,Year,Red_Band_p_per_kWh,Amber_Band_p_per_kWh,Green_Band_p_per_kWh,Red_Band_Time,Amber_Band_Time,Green_Band_Time,Standing_Charge_p_per_day,Capacity_Charge_p_per_kVA_per_day
National Grid Electricity Distribution – East Midlands,EMID,2024,6.8,1.81,1.13,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – South Wales,SWALES,2024,9.57,1.19,0.93,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – South West,SWEST,2024,12.58,1.28,1.02,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – West Midlands,WMID,2024,9.79,1.74,1.34,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Northern Powergrid (North East),NE,2024,10.02,2.06,1.73,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Northern Powergrid (Yorkshire),Y,2024,6.98,1.98,1.52,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
SP Energy Networks (SPD),SPD,2024,14.98,2.28,1.74,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
SP Energy Networks (SPM),SPM,2024,14.02,3.52,2.1,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Scottish Hydro Electric Power Distribution,SHEPD,2024,7.37,2.27,1.73,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Southern Electric Power Distribution,SEPD,2024,9.02,2.05,1.7,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (Eastern),EPN,2024,17.56,1.3,0.98,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (London),LPN,2024,18.09,1.3,0.53,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
