Year,DNO_Code,DNO_Name,Red_Rate_p_per_kWh,Amber_Rate_p_per_kWh,Green_Rate_p_per_kWh,Red_Time,Amber_Time,Green_Time,Source_Sheet,Tariff_Code
2024,EMID,National Grid Electricity Distribution – East Midlands,6.804,1.813,1.13,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,SWALES,National Grid Electricity Distribution – South Wales,9.57,1.186,0.931,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,SWEST,National Grid Electricity Distribution – South West,12.575,1.278,1.024,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,WMID,National Grid Electricity Distribution – West Midlands,9.788,1.738,1.34,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,NE,Northern Powergrid (North East),10.023,2.061,1.734,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 10
2024,Y,Northern Powergrid (Yorkshire),6.978,1.983,1.515,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 6
2024,SPD,SP Energy Networks (SPD),14.981,2.278,1.743,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 14
2024,SPM,SP Energy Networks (SPM),14.015,3.521,2.105,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 14
2024,SHEPD,Scottish Hydro Electric Power Distribution,7.372,2.271,1.733,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,SEPD,Southern Electric Power Distribution,9.023,2.046,1.7,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,EPN,UK Power Networks (Eastern),17.562,1.296,0.984,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,LPN,UK Power Networks (London),18.093,1.295,0.534,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2024,SPN,UK Power Networks (South Eastern),17.043,1.196,1.08,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,ENWL,Electricity North West,31.83,3.666,2.139,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,LV150
2025,EMID,National Grid Electricity Distribution – East Midlands,10.784,1.495,0.57,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SWALES,National Grid Electricity Distribution – South Wales,16.058,0.765,0.436,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SWEST,National Grid Electricity Distribution – South West,20.468,1.007,0.487,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,WMID,National Grid Electricity Distribution – West Midlands,14.547,1.305,0.689,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,NE,Northern Powergrid (North East),15.528,0.981,0.311,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 15
