name,url,type,fuel,capacity_mw,operator,location,latitude,longitude,commissioned,status
Gas,https://electricityproduction.uk/plant/gas/,,,29.92,,,,,,
Coal,https://electricityproduction.uk/plant/coal/,,,12.3,,,,,,
Hydro,https://electricityproduction.uk/plant/hydro/,,,6.36,,,,,,
Nuclear,https://electricityproduction.uk/plant/nuclear/,,,8.92,,,,,,
Biomass,https://electricityproduction.uk/plant/biomass/,,,1.58,,,,,,
Wind,https://electricityproduction.uk/plant/wind/,,,23.2,,,,,,
Oil,https://electricityproduction.uk/plant/oil/,,,0.37,,,,,,
Waste,https://electricityproduction.uk/plant/waste/,,,1.89,,,,,,
Solar,https://electricityproduction.uk/plant/solar/,,,8.67,,,,,,
Wave and Tidal,https://electricityproduction.uk/plant/wave-and-tidal/,,,0.04,,,,,,
Map,https://electricityproduction.uk/plant/map/,,,30.18,,,,,,
Pembroke,https://electricityproduction.uk/plant/GBR1000372/,,Gas,2180.0,RWE Npower Plc,,,,,
RWE Npower Plc,https://electricityproduction.uk/plant/owner/rwe-npower-plc/,,,8456.0,,,,,,
West Burton,https://electricityproduction.uk/plant/GBR1000143/,,Coal,2012.0,EDF Energy,,,,,
EDF Energy,https://electricityproduction.uk/plant/owner/edf-energy/,,,5410.4,,,,,,
Cottam,https://electricityproduction.uk/plant/GBR1000142/,,Coal,2008.0,EDF Energy,,,,,
Ratcliffe,https://electricityproduction.uk/plant/GBR1000496/,,Coal,2000.0,Uniper UK Limited,,,,,
Uniper UK Limited,https://electricityproduction.uk/plant/owner/uniper-uk-limited/,,,6421.0,,,,,,
Drax,https://electricityproduction.uk/plant/GBR0000174/,,Coal,1980.0,Drax Power,,,,,
Drax Power,https://electricityproduction.uk/plant/owner/drax-power/,,,1980.0,,,,,,
Eggborough,https://electricityproduction.uk/plant/GBR1000147/,,Coal,1960.0,Eggborough Power Ltd,,,,,
Eggborough Power Ltd,https://electricityproduction.uk/plant/owner/eggborough-power-ltd/,,,1960.0,,,,,,
Dinorwig,https://electricityproduction.uk/plant/GBR1000151/,,Hydro,1800.0,ENGIE,,,,,
ENGIE,https://electricityproduction.uk/plant/owner/engie/,,,2300.0,,,,,,
Staythorpe C,https://electricityproduction.uk/plant/GBR1000373/,,Gas,1772.0,RWE Npower Plc,,,,,
Dinorwig,https://electricityproduction.uk/plant/GBR2001139/,,Hydro,1728.0,First Hydro Company,,,,,
First Hydro Company,https://electricityproduction.uk/plant/owner/first-hydro-company/,,,1728.0,,,,,,
Aberthaw B,https://electricityproduction.uk/plant/GBR1000374/,,Coal,1586.0,RWE Npower Plc,,,,,
Didcot B,https://electricityproduction.uk/plant/GBR1000369/,,Gas,1470.0,RWE Npower Plc,,,,,
Grain CHP,https://electricityproduction.uk/plant/GBR1000495/,,Cogeneration,1404.0,Uniper UK Limited,,,,,
Connahs Quay,https://electricityproduction.uk/plant/GBR1000492/,,Gas,1380.0,Uniper UK Limited,,,,,
West Burton CCGT,https://electricityproduction.uk/plant/GBR1000141/,,Gas,1332.0,EDF Energy,,,,,
South Humber Bank,https://electricityproduction.uk/plant/GBR1000074/,,Gas,1310.0,Centrica,,,,,
Centrica,https://electricityproduction.uk/plant/owner/centrica/,,,2264.0,,,,,,
VPI Immingham,https://electricityproduction.uk/plant/GBR1000517/,,Cogeneration,1240.0,VPI Immingham LLP,,,,,
VPI Immingham LLP,https://electricityproduction.uk/plant/owner/vpi-immingham-llp/,,,1240.0,,,,,,
Heysham 2,https://electricityproduction.uk/plant/GBR1000055/,,Nuclear,1230.0,British Energy (now part of EDF),,,,,
British Energy (now part of EDF),https://electricityproduction.uk/plant/owner/british-energy-now-part-of-edf/,,,8918.0,,,,,,
Hornsea 1 - Heron & Njord,https://electricityproduction.uk/plant/GBR2001034/,,Wind,1200.0,Orsted (formerly Dong Energy),,,,,
Orsted (formerly Dong Energy),https://electricityproduction.uk/plant/owner/orsted-formerly-dong-energy/,,,3066.0,,,,,,
Saltend,https://electricityproduction.uk/plant/GBR2000263/,,Gas,1200.0,,,,,,
Sizewell B,https://electricityproduction.uk/plant/GBR1000058/,,Nuclear,1198.0,British Energy (now part of EDF),,,,,
Torness,https://electricityproduction.uk/plant/GBR1000059/,,Nuclear,1185.0,British Energy (now part of EDF),,,,,
Hartlepool,https://electricityproduction.uk/plant/GBR1000053/,,Nuclear,1180.0,British Energy (now part of EDF),,,,,
Peterhead,https://electricityproduction.uk/plant/GBR2000723/,,Gas,1180.0,,,,,,
Heysham 1,https://electricityproduction.uk/plant/GBR1000054/,,Nuclear,1155.0,British Energy (now part of EDF),,,,,
Dungeness B,https://electricityproduction.uk/plant/GBR1000052/,,Nuclear,1050.0,British Energy (now part of EDF),,,,,
Hunterston B,https://electricityproduction.uk/plant/GBR1000057/,,Nuclear,965.0,British Energy (now part of EDF),,,,,
Hinkley Point B,https://electricityproduction.uk/plant/GBR1000056/,,Nuclear,955.0,British Energy (now part of EDF),,,,,
Langage,https://electricityproduction.uk/plant/GBR1000073/,,Gas,905.0,Centrica,,,,,
Carrington,https://electricityproduction.uk/plant/GBR2000124/,,Gas,900.0,,,,,,
Spalding,https://electricityproduction.uk/plant/GBR0006165/,,Gas,880.0,SPEP,,,,,
SPEP,https://electricityproduction.uk/plant/owner/spep/,,,909.3,,,,,,
Severn Power,https://electricityproduction.uk/plant/GBR1000313/,,Gas,850.0,MPF Operations Limited,,,,,
MPF Operations Limited,https://electricityproduction.uk/plant/owner/mpf-operations-limited/,,,1402.3,,,,,,
Marchwood,https://electricityproduction.uk/plant/GBR1000311/,,Gas,842.0,Marchwood Power Limited,,,,,
Marchwood Power Limited,https://electricityproduction.uk/plant/owner/marchwood-power-limited/,,,842.0,,,,,,
Sutton Bridge,https://electricityproduction.uk/plant/GBR2000518/,,Gas,819.0,,,,,,
Seabank 1,https://electricityproduction.uk/plant/GBR2000806/,,Gas,812.0,,,,,,
Rocksavage,https://electricityproduction.uk/plant/GBR1000212/,,Gas,810.0,Intergen,,,,,
Intergen,https://electricityproduction.uk/plant/owner/intergen/,,,1610.0,,,,,,
Damhead Creek,https://electricityproduction.uk/plant/GBR1000465/,,Gas,805.0,Scottish Power: Thermal,,,,,
Scottish Power: Thermal,https://electricityproduction.uk/plant/owner/scottish-power-thermal/,,,1579.0,,,,,,
Coryton,https://electricityproduction.uk/plant/GBR1000211/,,Gas,800.0,Intergen,,,,,
Little Barford,https://electricityproduction.uk/plant/GBR1000371/,,Gas,720.0,RWE Npower Plc,,,,,
Rye House,https://electricityproduction.uk/plant/GBR1000466/,,Gas,715.0,Scottish Power: Thermal,,,,,
Medway,https://electricityproduction.uk/plant/GBR1000437/,,Gas,700.0,Scottish and Southern: Thermal,,,,,
Scottish and Southern: Thermal,https://electricityproduction.uk/plant/owner/scottish-and-southern-thermal/,,,868.7,,,,,,
Walney 3,https://electricityproduction.uk/plant/GBR2001036/,,Wind,660.0,Orsted (formerly Dong Energy),,,,,
London Array,https://electricityproduction.uk/plant/GBR0002511/,,Wind,630.0,Siemens Gamesa Renewable Energy,,,,,
Siemens Gamesa Renewable Energy,https://electricityproduction.uk/plant/owner/siemens-gamesa-renewable-energy/,,,630.0,,,,,,
Ballylumford C,https://electricityproduction.uk/plant/GBR1000001/,,Gas,616.0,AES,,,,,
AES,https://electricityproduction.uk/plant/owner/aes/,,,1934.0,,,,,,
Killingholme,https://electricityproduction.uk/plant/GBR1000500/,,Gas,600.0,Uniper UK Limited,,,,,
Beatrice,https://electricityproduction.uk/plant/GBR2001031/,,Wind,588.0,Scottish & Southern Energy (SSE) / Repsol / CIP,,,,,
Scottish & Southern Energy (SSE) / Repsol / CIP,https://electricityproduction.uk/plant/owner/scottish-southern-energy-sse-repsol-cip/,,,588.0,,,,,,
Gwynt y Mor,https://electricityproduction.uk/plant/GBR0002543/,,Wind,576.0,RWE,,,,,
RWE,https://electricityproduction.uk/plant/owner/rwe/,,,673.0,,,,,,
Ballylumford B,https://electricityproduction.uk/plant/GBR1000003/,,Gas,540.0,AES,,,,,
Baglan Bay CCGT,https://electricityproduction.uk/plant/GBR1000312/,,Gas,520.0,MPF Operations Limited,,,,,
Kilroot,https://electricityproduction.uk/plant/GBR1000002/,,Coal,520.0,AES,,,,,
Deeside,https://electricityproduction.uk/plant/GBR2000262/,,Gas,515.0,,,,,,
Greater Gabbard,https://electricityproduction.uk/plant/GBR0002510/,,Wind,504.0,Airtricity / Fluor Ltd,,,,,
Airtricity / Fluor Ltd,https://electricityproduction.uk/plant/owner/airtricity-fluor-ltd/,,,504.0,,,,,,
Cruachan,https://electricityproduction.uk/plant/GBR1000455/,,Hydro,440.0,Scottish Power: Hydro schemes - Cruachan,,,,,
Scottish Power: Hydro schemes - Cruachan,https://electricityproduction.uk/plant/owner/scottish-power-hydro-schemes-cruachan/,,,440.0,,,,,,
Cruachan,https://electricityproduction.uk/plant/GBR2001140/,,Hydro,440.0,Scottish Power,,,,,
Scottish Power,https://electricityproduction.uk/plant/owner/scottish-power/,,,440.0,,,,,,
Great Yarmouth,https://electricityproduction.uk/plant/GBR1000370/,,Gas,420.0,RWE Npower Plc,,,,,
Shoreham,https://electricityproduction.uk/plant/GBR2000769/,,Gas,420.0,,,,,,
Seabank 2,https://electricityproduction.uk/plant/GBR1000480/,,Gas,410.0,Seabank Power Limited,,,,,
Seabank Power Limited,https://electricityproduction.uk/plant/owner/seabank-power-limited/,,,410.0,,,,,,
Enfield,https://electricityproduction.uk/plant/GBR1000494/,,Gas,408.0,Uniper UK Limited,,,,,
Coolkeeragh,https://electricityproduction.uk/plant/GBR1000075/,,Gas,408.0,Coolkeeragh ESB Ltd,,,,,
Coolkeeragh ESB Ltd,https://electricityproduction.uk/plant/owner/coolkeeragh-esb-ltd/,,,461.0,,,,,,
Dudgeon East,https://electricityproduction.uk/plant/GBR2001037/,,Wind,402.0,Statoil / Statkraft,,,,,
Statoil / Statkraft,https://electricityproduction.uk/plant/owner/statoil-statkraft/,,,402.0,,,,,,
Corby,https://electricityproduction.uk/plant/GBR1000077/,,Gas,401.0,Corby Power Ltd,,,,,
Corby Power Ltd,https://electricityproduction.uk/plant/owner/corby-power-ltd/,,,401.0,,,,,,
Rampion Offshore Wind Farm (Hastings Zone),https://electricityproduction.uk/plant/GBR2001030/,,Wind,400.0,E.ON UK,,,,,
