year;dno_area;type;generation_or_demand;voltage_level;half_hourly_or_non_half_hourly;final_demand_or_non_final_demand;band;thresholds;tariff;tariff_alternative_name;ukpn_tariff_name;unit_rate_1;unit_rate_2;unit_rate_3;fixed_charge;capacity_charge;exceeded_capacity_charge;reactive_power_charge;current_year;thresholds_sort
2024/25;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;6.613;0.455;0.087;357.62;5.16;6.63;0.241;false;02 More than 90kVA and less than or equal to 150kVA
2025/26;East of England Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;37.044;3.134;2.078;0.0;0.0;0.0;0.0;true;Unknown
2026/27;London Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-4.094;-0.313;-0.01;8.55;0.0;0.0;0.338;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;0.021;0.0;0.0;0.0;9.19;9.19;0.244;false;04 More than 2000kVA
2026/27;London Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-7.578;-0.516;-0.043;0.0;0.0;0.0;0.48;false;Unknown
2026/27;London Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;10.892;0.489;0.0;0.0;0.0;0.0;0.0;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;3.318;0.283;0.013;524.02;7.86;8.78;0.235;false;04 More than 2000kVA
2025/26;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;2.141;0.111;0.008;220.7;4.49;4.49;0.147;true;02 More than 500kVA and less than or equal to 1100kVA
2025/26;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;2.141;0.111;0.008;222.46;4.49;4.49;0.147;true;03 More than 1100kVA and less than or equal to 2000kVA
2025/26;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;2.141;0.111;0.008;229.53;4.49;4.49;0.147;true;04 More than 2000kVA
2025/26;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;5.221;0.282;0.074;5.89;0.0;0.0;0.0;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;4.2;0.227;0.046;24.73;3.54;3.54;0.297;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;2.888;0.156;0.012;21.1;4.37;4.37;0.193;true;04 More than 250kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;6.01;0.177;0.056;175.83;6.66;6.66;0.186;false;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-12.382;-0.448;-0.139;0.0;0.0;0.0;0.0;false;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-12.382;-0.448;-0.139;0.0;0.0;0.0;0.412;false;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;11.311;0.389;0.121;65.81;8.57;8.57;0.361;false;02 More than 90kVA and less than or equal to 150kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;15.864;0.574;0.178;11.5;0.0;0.0;0.0;false;02 More than 3986kWh and less than or equal to 13677kWh
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;5.569;0.181;0.054;21672.59;4.86;7.2;0.174;false;04 More than 2000kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-10.397;-0.39;-0.133;0.0;0.0;0.0;0.0;false;Unknown
