id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
7;London Power Networks (LPN);Acton Lane 22kV;LPN-S000000003203;Acton Lane 22kV;ACTL81;PARL81;LPN 0003;lne_ACTL_ROYL_1;22;0.01;7.5;0.0;;1023;1.000
9;London Power Networks (LPN);Acton Lane 22kV;LPN-S000000003203;Acton Lane 22kV;ACTL81;ACTL81;Acton Lane 22kV;D3RA;22;0.22;66.67;0.0;787;787;Series Reactor
24;London Power Networks (LPN);Barking 132kV;LPN-S000000003663;East Ham Tee Pt. 66kV;EHAM60;NELN60;Nelson St 66kV;lne_EHAM_NELN_2;66;0.58;0.52;0.34;950;960;1.620
26;London Power Networks (LPN);Barking 132kV;LPN-S000000003663;East Ham Tee Pt. 66kV;EHAM63;NELN63;Nelson St 66kV;lne_EHAM_NELN_4;66;0.52;0.42;0.99;950;960;2.010
40;London Power Networks (LPN);Barking West 33kV;;Barking West 33kV;BARW31;SEWB33;Sewell Rd B 33kV;lne_BARW_SEWL_3;33;1.6;2.3;0.4;320;340;2.880
48;London Power Networks (LPN);Barking West 33kV;;LPN 0069;THAM31;BARW31;Barking West 33kV;lne_BARW_THMS1;33;0.09;0.2;0.02;864;973;0.200
53;London Power Networks (LPN);Beddington;LPN-S000000000817;Churchfields 33kV;CHUR33;SYDP32;Sydenham Park 33kV;lne_SYDP_CHUR_3;33;4.63;3.43;0.82;280;310;1.000
70;London Power Networks (LPN);Brimsdown;;Buckhurst Hill 33kV;BUCK31;FAIR3A;Fairlop Rd 33kV;lne_BUCK_FAIR_1;33;4.2;3.36;1.31;600;660;7.100
77;London Power Networks (LPN);Brimsdown;;Buckhurst Hill 33kV;BUCK32;GROT34;Grove Lodge 33kV;lne_BUCK_GROL_4;33;1.8;2.77;1.1;420;540;4.410
81;London Power Networks (LPN);Brimsdown;LPN-S000000000526;Fairlop Rd 33kV;FAIR3D;FAIR33;Fairlop Rd 33kV;lne_FAIR_T4;33;0.0;0.01;0.0;970;1020;1.000
82;London Power Networks (LPN);Brimsdown;;Fairlop Rd 33kV;FAIR3A;PERB30;Perth Rd B 33kV;lne_PERB_FAIR_1;33;2.58;2.09;0.78;390;420;4.320
118;London Power Networks (LPN);City Road;;Beech St A 11kV;BEEA51;CHAT52;LPN 0021;lne_BEEA_CHRT_2;11;5.27;5.68;0.02;;394;1.000
140;London Power Networks (LPN);City Road;LPN-S000000000112;Calshot St 132kV;CALS11;CALS1A;Calshot St 132kV;lne_CALS_CALS_2;132;0.0;0.01;0.09;691;796;0.095
141;London Power Networks (LPN);City Road;LPN-S000000000415;City Rd B 11kV;CITB53;CITB5C;City Rd B 11kV;lne_CITB_GRID1A;11;0.0;0.01;0.0;1780;1930;1.000
143;London Power Networks (LPN);City Road;;City Rd B 11kV;CITB52;CITB5B;City Rd B 11kV;lne_CITB_GRID2A;11;0.0;0.01;0.0;1780;1930;1.000
155;London Power Networks (LPN);City Road;LPN-S000000003413;City Road 132kV;CITY11;LIMA12;Limeburner Ln 132kV;Lne_CITY_LIMA_3;132;0.04;0.21;4.64;;899;2.656
161;London Power Networks (LPN);City Road;LPN-S000000003413;City Road 132kV;CITY1A;CITY11;City Road 132kV;lne_CITY_CITB_2;132;0.0;0.01;0.0;;1198;1.000
178;London Power Networks (LPN);City Road;LPN-S000000000428;Finsbury Market A 33kV;FINA31;FINB31;Finsbury Market B 33kV;lne_FINB_FINA;33;0.0;0.0;0.0;;1000;1.000
185;London Power Networks (LPN);City Road;LPN-S000000000433;Finsbury Mkt E 132kV;FINE13;FINM12;Finsbury Market 132kV;lne_FINM_FINA/FINB/FINC_3;132;0.0;0.01;0.0;950;1020;1.000
199;London Power Networks (LPN);City Road;LPN-S000000003463;Limeburner Ln 132kV;LIMA13;LIMA1C;Limeburner Ln 132kV;Lne_BANF_CITY_LIMA_1;132;0.0;0.01;0.09;691;796;0.100
233;London Power Networks (LPN);Hackney 132kV;LPN-S000000003439;Hackney Supergrid 132 kV;HACS11;BOWM11;Bow 132kV;lne_BOWM_HACG_1;132;0.15;0.27;0.0;;850;4.300
238;London Power Networks (LPN);Hackney 132kV;LPN-S000000000453;Hearn St 11kV;HEAR53;HEAR5A;Hearn St 11kV;Cable Tail_GT1_HEAR;11;0.02;0.04;0.0;880;1031;0.012
254;London Power Networks (LPN);Hackney 66kV;LPN-S000000000503;Blackhorse Lane 66kV;BLHL62;HACS6A;Hackney Sgrid 66kV;lne_HACS_BLHL_2;66;1.67;1.02;1.97;970;1020;2.600
255;London Power Networks (LPN);Hackney 66kV;LPN-S000000000503;Blackhorse Lane 66kV;BLHL63;HACS61;Hackney Sgrid 66kV;lne_HACS_BLHL_4;66;0.54;0.47;1.61;970;1020;4.650
277;London Power Networks (LPN);Hackney 66kV;;Hackney C 6.6kV;HACC7B;HACC73;Hackney C 6.6kV;RB1;6.6;4.0;80.0;0.0;3062;3062;Series Reactor
279;London Power Networks (LPN);Hackney 66kV;;Hackney C 6.6kV;HACC7C;HACC71;Hackney C 6.6kV;RC1;6.6;6.59;131.71;0.0;2624;2624;Series Reactor
297;London Power Networks (LPN);Hurst 132kV;;Bromley Grid 33kV;BROG32;CHSB31;LPN 0024;lne_BROG_CHSI_2;33;4.95;3.66;0.87;;1190;1.000
306;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1A;Eltham Grid 132kV;Lne_ELTH_1;132;0.0;0.0;0.0;;;1.000
308;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1H;Eltham Grid 132kV;lne_ELTH_ELTG_T2A;132;0.0;0.01;0.0;920;1000;1.000
311;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1G;Eltham Grid 132kV;lne_ELTH_ELTM_T2B;132;0.0;0.01;0.0;780;850;1.000
315;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH12;SYDP12;Sydenham Park 132kV;lne_ELTH_SYDK_1;132;0.15;0.07;21.44;514;600;13.340
328;London Power Networks (LPN);Hurst 132kV;LPN-S000000003731;Eltham Grid 33kV;ELTG32;FARJ34;Farjeon Rd 33kV;lne_ELTG_FARJ_2;33;3.24;3.67;0.5;290;320;1.000
334;London Power Networks (LPN);Islington;LPN-S000000000446;Hatchard Rd 66kV;HATR61;HOLL61;Holloway Grid 66kV;lne_HOLL_HATR_1;66;0.54;0.55;1.53;160;170;2.780
335;London Power Networks (LPN);Islington;LPN-S000000000446;Hatchard Rd 66kV;HATR62;HOLL61;Holloway Grid 66kV;lne_HOLL_HATR_2;66;0.53;0.54;1.51;160;170;2.740
343;London Power Networks (LPN);Islington;;Georgiana St 11kV;GEST53;GEST5B;Georgiana St 11kV;Lne_GEORG_GT1B;11;0.1;0.33;0.01;716;804;0.100
347;London Power Networks (LPN);Islington;;Georgiana St 11kV;GEST51;GEST5F;Georgiana St 11kV;Lne_GEORG_GT3B;11;0.1;0.33;0.01;716;804;0.100
349;London Power Networks (LPN);Islington;;Islington 132kV;ISLG11;GEST12;Georgiana St 132kV;lne_ISLNG_GEORG2;132;0.04;0.2;2.95;805;913;2.800
357;London Power Networks (LPN);Littlebrook;;Dartford Grid A 33kV;DARA31;CRAY31;Crayford 33kV;lne_DARA_CRAY_1;33;2.91;2.17;0.51;600;600;2.970
359;London Power Networks (LPN);Littlebrook;;Dartford Grid A 33kV;DARA31;CRAY32;Crayford 33kV;lne_DARA_CRAY_3;33;2.91;2.16;0.51;600;600;1.000
371;London Power Networks (LPN);Littlebrook;LPN-S000000003752;Littlebrook 132kV GIS;LITB11;DART14;Dartford Grid 132kV;lne_LITB_DART_2;132;0.28;0.61;1.34;410;520;3.660
373;London Power Networks (LPN);Littlebrook;LPN-S000000003752;Littlebrook 132kV GIS;LITB11;WELT11;LPN 0025;lne_LITT_WELD_4;132;0.18;0.37;1.04;490;610;3.100
377;London Power Networks (LPN);Littlebrook;;LPN 0025;WELT12;DART13;Dartford Grid 132kV;lne_WELT_DART_1;132;0.03;0.07;0.28;450;580;0.600
384;London Power Networks (LPN);Lodge Road;LPN-S000000000319;Carnaby St 66 kV;CARN64;LODB6O;Lodge Rd B 66kV;lne_LODR_CARN_4;66;0.6;1.3;1.32;200;250;1.000
395;London Power Networks (LPN);Lodge Road;;Hyde Park Estate A 66kV;HYPA6B;LODB62;Lodge Rd B 66kV;lne_LODB_HYPA/HYPB2;66;0.47;0.57;1.91;290;370;2.910
401;London Power Networks (LPN);Lodge Road;LPN-S000000000353;Imperial College 22kV;IMPC84;MOSC81;Moscow Rd 22kV;lne_MOSC_IMPC_4;22;6.75;5.83;1.6;290;320;3.540
416;London Power Networks (LPN);Lodge Road;LPN-S000000003369;Moscow Rd 22kV;MOSC81;MOSC8C;Moscow Rd 22kV;lne_MOSC_MOSW_3;22;0.0;0.01;0.0;350;360;1.000
423;London Power Networks (LPN);Lodge Road;LPN-S000000003369;Moscow Rd 66kV;MOSD6A;MOSD61;Moscow Rd 66kV;lne_MOSC_MOSD_4;66;0.0;0.01;0.0;470;470;1.000
