id;licencearea;gridsupplypoint;substation;sitefunctionallocation;fault_level_operational_restrictions
11;South Eastern Power Networks (SPN);Beddington;Caterham 11kV;SPN-S000000008346;2-Way Bar Split
48;South Eastern Power Networks (SPN);Kingsnorth;Medway Grid 33kV;SPN-S000000009133;2-Way Bar Split
60;South Eastern Power Networks (SPN);Northfleet;Tonbridge East 6.6kV;SPN-S000000008503;2-Way Bar Split
61;South Eastern Power Networks (SPN);Northfleet;Tunbridge Wells Grid 11kV;SPN-S000000009351;T3 on hot stand-by
66;South Eastern Power Networks (SPN);West Weybridge;Guildford 'B' 11kV;SPN-S000000008621;HV Interconnection open between [Guildford 'B' 11kV] - [Guildford 'A' 11kV]
78;Eastern Power Networks (EPN);Mill Hill;Colindale Grid 11kV;EPN-S0000000F8073;2-Way Bar Split
92;Eastern Power Networks (EPN);Walpole;Walsoken Grid 33kV;EPN-S0000000D6077;Make duty 100%, reduce fault level before closing onto potential fault
13;South Eastern Power Networks (SPN);Beddington;Croydon Grid 33kV;SPN-S000000008608;Managed switching and Controlled Access
18;South Eastern Power Networks (SPN);Beddington;Sutton A 11kV;SPN-S000000008347;HV circuit on hot stand-by
25;South Eastern Power Networks (SPN);Bolney;Hangleton 11kV;SPN-S000000008413;2-Way Bar Split
33;South Eastern Power Networks (SPN);Canterbury;Canterbury Town 11kV;SPN-S000000008410;2-Way Bar Split
38;South Eastern Power Networks (SPN);Richborough;Ramsgate 11kV;SPN-S000000008463;2-Way Bar Split
63;South Eastern Power Networks (SPN);Northfleet;Tunbridge Wells Town 6.6kV;SPN-S000000009251;Controlled Access
75;Eastern Power Networks (EPN);Brimsdown/Rye House;The Cross 33/11KV;EPN-S0000000H7080;FL exceeded if run solid, Bar normally Split 2-way due to GSP Parallel
6;London Power Networks (LPN);Brimsdown / Rye House;The Cross 33/11KV;EPN-S0000000H7080;FL exceeded if run solid, Bar normally Split 2-way due to GSP Parallel
10;South Eastern Power Networks (SPN);Beddington;Bensham Grove 6.6kV;SPN-S000000008358;2-Way Bar Split
