bmUnit,total_records,active_days,bid_pairs,offer_pairs,avg_level_change_mw,stddev_level_change,first_seen,last_seen,avg_bid_price,avg_offer_price,bidirectional,variable_output,highly_active
T_HUMR-1,260736,357,6,8,0.0,0.0,2024-11-06,2025-10-28,59.209059403656134,152.06895821827456,False,False,True
E_RHEI-1,195458,357,6,6,0.0,0.0,2024-11-06,2025-10-28,569.5841998838048,2764.4525116646428,False,False,True
E_LITRB-1,173597,357,7,7,0.0,0.0,2024-11-06,2025-10-28,2492.9127154113544,2450.525965741422,False,False,True
E_TOLLB-1,171902,357,8,10,0.0,0.0,2024-11-06,2025-10-28,105.33003411331461,33042.01516030541,False,False,True
2__PLOND001,144647,357,5,6,0.0,0.0,2024-11-06,2025-10-28,51.66614031478242,1427.7785936773753,False,False,True
2__DUKPR001,135880,357,8,8,0.0,0.0,2024-11-06,2025-10-28,58.00885338881251,3256.1025482204186,False,False,True
2__GLOND001,131368,357,5,6,0.0,0.0,2024-11-06,2025-10-28,63.769213549337245,9355.005698191346,False,False,True
2__GLOND002,131306,357,5,6,0.0,0.0,2024-11-06,2025-10-28,63.99305724725943,9374.96740362209,False,False,True
2__GSMAE003,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,64.02053885460221,191.91484413352978,False,False,True
2__ASTAT005,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.110035481547825,366.0995318401336,False,False,True
2__JSTAT002,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.99101426136875,342.0559404899103,False,False,True
2__HSTAT002,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.06670070282455,392.8163605476396,False,False,True
2__MSTAT001,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,63.96228574195706,245.46716364929966,False,False,True
2__HSTAT001,130368,357,4,4,0.0,0.0,2024-11-06,2025-10-28,64.27797864015096,311.755140983048,False,False,True
2__HSTAT004,130064,356,4,4,0.0,0.0,2024-11-06,2025-10-27,63.71759931727367,1524.4403424912123,False,False,True
2__JUKPR001,129421,357,7,8,0.0,0.0,2024-11-06,2025-10-28,58.08282729046905,3301.9326263809394,False,False,True
2__GCMRO002,123843,357,9,9,0.0,0.0,2024-11-06,2025-10-28,37565.073628687605,36198.683147653,False,False,True
2__ASTAT008,123452,343,4,4,0.0,0.0,2024-11-20,2025-10-28,61.027262519260404,337.47639935832785,False,False,True
2__GCMRO001,122671,357,9,9,0.0,0.0,2024-11-06,2025-10-28,38111.452193407524,36684.77139121056,False,False,True
2__GSTAT016,122084,343,4,4,0.0,0.0,2024-11-20,2025-10-28,64.60342840143922,177.4974906835447,False,False,True
2__MCMRO002,121217,357,7,7,0.0,0.0,2024-11-06,2025-10-28,850.1465278839948,861.0900998672286,False,False,True
2__BUKPR001,120837,357,6,7,0.0,0.0,2024-11-06,2025-10-28,61.655876361840704,3660.702454114287,False,False,True
2__FFSEN005,120044,357,3,4,0.0,0.0,2024-11-06,2025-10-28,52.95847619469944,25579.05843772947,False,False,True
2__GSTAT009,118506,357,4,4,0.0,0.0,2024-11-06,2025-10-28,57.664030113886795,2791.7143304262495,False,False,True
2__MSTAT005,118314,357,4,4,0.0,0.0,2024-11-06,2025-10-28,62.3786429822582,197.31822392248324,False,False,True
2__KSTAT006,115136,342,4,4,0.0,0.0,2024-11-20,2025-10-27,62.15779349186482,1654.6985209361558,False,False,True
2__HIMPO002,112649,357,10,10,0.0,0.0,2024-11-06,2025-10-28,82.90137808655254,875.8775367735718,False,False,True
2__MCMRO003,101348,357,9,9,0.0,0.0,2024-11-06,2025-10-28,35926.6656780954,33676.5251401922,False,False,True
